gene,id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,nSNP,OR,OR_lo,OR_hi,FDR_pooled,risk,MHC_gene,instrument_chr,sensitivity_testable,FDR_stratum,risk_fdr
SNX16,eqtl-a-ENSG00000104497,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000104497 || id:eqtl-a-ENSG00000104497,Inverse variance weighted,2,-0.0137991172607712,0.0211123617873541,0.513367175690735,2,0.986295654136461,0.946315414504626,1.02796499186024,0.889846765258505,ns,FALSE,8,FALSE,0.89177424171589,ns
USP36,eqtl-a-ENSG00000055483,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000055483 || id:eqtl-a-ENSG00000055483,Inverse variance weighted,3,-0.0217743538255154,0.033388615578936,0.5143050263127,3,0.978460996123985,0.916479077773892,1.0446347812559,0.889846765258505,ns,FALSE,17,TRUE,0.89177424171589,ns
SLC7A11,eqtl-a-ENSG00000151012,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000151012 || id:eqtl-a-ENSG00000151012,Inverse variance weighted,2,-0.0922979171743228,0.141836794102229,0.515218699280893,2,0.911833458229017,0.690528499261862,1.20406363594646,0.889846765258505,ns,FALSE,4,FALSE,0.89177424171589,ns
DPP3,eqtl-a-ENSG00000254986,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000254986 || id:eqtl-a-ENSG00000254986,Inverse variance weighted,2,-0.0464736618507945,0.07144727018826,0.515394494422095,2,0.954589702364886,0.82985000497547,1.09807976670196,0.889846765258505,ns,FALSE,11,FALSE,0.89177424171589,ns
MCM3AP,eqtl-a-ENSG00000160294,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000160294 || id:eqtl-a-ENSG00000160294,Inverse variance weighted,3,0.0154711107572386,0.023796240543186,0.515595742626434,3,1.01559140796778,0.969311240820319,1.06408124088717,0.889846765258505,ns,FALSE,21,TRUE,0.89177424171589,ns
WDFY1,eqtl-a-ENSG00000085449,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000085449 || id:eqtl-a-ENSG00000085449,Inverse variance weighted,2,0.0321670807265468,0.0495444259139694,0.516172073646585,2,1.03269003349274,0.937123694673947,1.13800207094997,0.889846765258505,ns,FALSE,2,FALSE,0.89177424171589,ns
RPA1,eqtl-a-ENSG00000132383,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000132383 || id:eqtl-a-ENSG00000132383,Inverse variance weighted,3,-0.0309379466150451,0.0477121202520157,0.516707190788694,3,0.969535734183547,0.882979140315482,1.06457728947365,0.889846765258505,ns,FALSE,17,TRUE,0.89177424171589,ns
DDX54,eqtl-a-ENSG00000123064,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000123064 || id:eqtl-a-ENSG00000123064,Wald ratio,1,-0.261176403667875,0.405966436853529,0.520000380682236,1,0.770145051219759,0.347541700443436,1.70662513062895,0.889846765258505,ns,FALSE,12,FALSE,0.89177424171589,ns
NOL6,eqtl-a-ENSG00000165271,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000165271 || id:eqtl-a-ENSG00000165271,Wald ratio,1,0.0411575123812551,0.0639742657319863,0.520000380682236,1,1.04201622307647,0.919217928246261,1.18121913834525,0.889846765258505,ns,FALSE,9,FALSE,0.89177424171589,ns
CTBP1,eqtl-a-ENSG00000159692,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000159692 || id:eqtl-a-ENSG00000159692,Wald ratio,1,-0.106318249035633,0.16525857668363,0.520000380682236,1,0.899138452592183,0.650362708052152,1.24307551297212,0.889846765258505,ns,FALSE,4,FALSE,0.89177424171589,ns
