gene,logFC,adj.P.Val,module,GS_RA,kME_own
POLD2,-0.297116058194957,1.17351531733506e-08,brown,-0.512,0.809
THRA,-0.29709006943854,8.83419261694925e-05,brown,-0.292,0.556
ACSL3,0.297049592826173,4.88415522843022e-08,yellow,0.473,0.797
BTBD11,-0.296669019214437,1.99391511603242e-05,brown,-0.411,0.503
TMEM167A,0.296507442581789,4.0612025499663e-09,yellow,0.505,0.845
ZBTB20,-0.295281707483231,1.42572047334383e-07,brown,-0.49,0.811
TMEM71,0.294904084376177,3.92146684439735e-07,yellow,0.476,0.818
KDM1A,-0.294410424837974,3.2629594121183e-12,brown,-0.621,0.821
TCFL5,0.294105910739754,3.83894088659286e-05,yellow,0.397,0.711
DENND1C,-0.294105034165587,1.08520094181092e-08,brown,-0.502,0.834
GOT2,-0.293813527408599,3.56187540193742e-08,brown,-0.495,0.849
DCBLD2,0.29379579690646,0.000222927674922625,yellow,0.342,0.596
RUVBL1,-0.293619586281116,2.57086126886075e-07,brown,-0.486,0.695
ZNF573,-0.293111036530109,4.30448806938525e-07,brown,-0.48,0.749
PAPSS2,0.293018944040097,0.00120337308430516,yellow,0.312,0.336
RASAL3,-0.292861598739136,1.33514922937578e-08,brown,-0.506,0.801
MMP19,-0.292063325054868,9.57625885271521e-07,brown,-0.442,0.688
SLAMF6,-0.291975080780873,1.13811442234391e-05,brown,-0.362,0.651
GPD2,0.291973737199555,1.3220029615258e-07,yellow,0.414,0.449
CYB5R4,0.29137769318797,2.16116423360518e-07,yellow,0.477,0.828
CCDC92,-0.291103436387363,8.57646066481341e-08,brown,-0.456,0.793
P2RY8,-0.290686786353996,2.75000282871792e-09,brown,-0.526,0.801
U2AF2,-0.290617525025819,2.06649143232768e-10,brown,-0.548,0.805
SND1,-0.290227731490213,4.32636765693312e-08,brown,-0.514,0.749
ALCAM,0.290222841816897,0.0012639445929281,yellow,0.348,0.773
TRRAP,-0.28997191271836,9.69865251317538e-09,brown,-0.513,0.833
MICAL3,-0.289264767258435,3.56007253124743e-06,brown,-0.413,0.518
BTBD18,-0.288969530879456,3.7825255492639e-06,brown,-0.338,0.388
KIAA1109,0.288861644307266,1.11672872950628e-07,yellow,0.45,0.834
HSP90AB1,-0.288772897080191,2.42599726550498e-07,brown,-0.486,0.794
NOP14,-0.288622012198162,5.82845108936392e-06,brown,-0.448,0.675
GGA2,-0.288539136264631,9.42838956589498e-08,brown,-0.53,0.809
TMEM30A,0.288211155585173,2.8715158319247e-06,yellow,0.414,0.851
PGM2,0.288117454117921,3.1246577212696e-05,yellow,0.406,0.829
BCL9L,-0.287838192015157,1.99607458376704e-06,brown,-0.44,0.749
TP53,-0.28775497174468,1.22823954353284e-07,brown,-0.502,0.797
RHOT1,0.287587873501856,7.31315344723428e-08,yellow,0.485,0.872
SMARCD1,-0.287532039611922,1.15832873306942e-09,brown,-0.512,0.858
AGFG2,-0.287459197962015,1.02073589561294e-05,brown,-0.417,0.733
IL2RB,-0.287330464576078,0.00025509073514488,brown,-0.351,0.618
BNIP2,0.287233774003886,2.50703086111885e-09,yellow,0.519,0.92
SCRIB,-0.286582744651804,2.2945904530243e-08,brown,-0.482,0.744
ZFAND6,0.286417694750695,2.50703086111885e-09,yellow,0.517,0.834
GNG7,-0.286061232618054,2.45939935966474e-05,brown,-0.412,0.481
YARS,-0.285880343708502,3.84633425949878e-08,brown,-0.499,0.795
CD81,-0.284509532903722,2.85297918905491e-07,brown,-0.435,0.731
ACACA,-0.284473271771217,5.72740165281581e-08,brown,-0.475,0.679
TNFAIP8L1,-0.284361177329838,6.58778063686018e-08,brown,-0.491,0.835
PDZD8,0.28409353938869,0.0022008871443353,yellow,0.258,0.627
ATP11B,0.284069050592778,7.14505293578802e-09,yellow,0.496,0.836
OSBPL11,0.284047438613712,5.67577568668423e-07,yellow,0.417,0.907
C11orf49,-0.283665691277925,5.17891390163521e-07,brown,-0.425,0.644
RB1,0.283503768113989,1.55586924943047e-06,yellow,0.407,0.83
DCP2,0.282787219578308,1.10397450924681e-08,yellow,0.484,0.881
CPD,0.282527473511455,4.98003237314559e-05,yellow,0.394,0.774
SLC43A1,-0.281950709013014,3.20700936846634e-08,brown,-0.397,0.525
ZNF350,0.281932569728339,6.83426741077026e-06,yellow,0.424,0.699
DNAJC11,-0.281557720372108,1.00405737827091e-07,brown,-0.497,0.844
NKTR,-0.281331988961656,4.28212864211007e-08,brown,-0.448,0.758
FBXO21,-0.281211798916378,4.73799248893346e-08,brown,-0.458,0.719
BAZ1B,-0.281072263489569,1.7452168692633e-08,brown,-0.53,0.876
TECR,-0.280936699109655,2.17515391701861e-07,brown,-0.452,0.834
LARP1,-0.280832598037584,8.21206041948552e-08,brown,-0.508,0.829
APOL3,-0.280513216104169,7.4339944277483e-06,brown,-0.398,0.692
CDK10,-0.280466424591437,2.92448593238398e-07,brown,-0.442,0.616
DBP,-0.280433044352451,2.90767668508644e-06,brown,-0.401,0.562
CEP164,-0.280201233177314,4.15575878381061e-05,brown,-0.378,0.631
SPN,-0.27986275551181,2.49045425037594e-06,brown,-0.406,0.816
NISCH,-0.279819175437984,4.22537732436105e-09,brown,-0.525,0.852
PLD4,-0.279792089588697,6.68465278037341e-05,brown,-0.368,0.518
SCCPDH,0.279553494094912,1.03584183766146e-05,yellow,0.396,0.502
