gene,logFC,adj.P.Val,module,GS_RA,kME_own
CXorf65,-0.308365456488558,0.0121360751521765,brown,-0.345,0.522
ANAPC2,-0.308141827536089,0.00402171322851142,brown,-0.291,0.467
SLC35A5,0.308029069005844,0.00201579535495961,yellow,0.494,0.742
HNRNPM,-0.307926775861046,0.00011519252718313,brown,-0.405,0.718
EIF2B5,-0.307163501247808,0.00019886369786541,brown,-0.523,0.843
RNF111,0.307141607422984,0.00064965271435459,yellow,0.352,0.864
FLAD1,-0.307003923335064,0.000199493582589025,brown,-0.401,0.625
CHRAC1,-0.30692899653518,0.000224697926561142,brown,-0.333,0.639
ZNF585A,-0.306795364227548,0.00390245435704439,brown,-0.04,0.332
QTRT1,-0.306490675501574,0.00010672713404148,brown,-0.239,0.472
TBC1D5,-0.306359255084432,4.44224096233468e-05,brown,-0.356,0.64
TSEN54,-0.306246237745034,0.013304834014401,brown,-0.393,0.634
U2AF1L4,-0.305960991245661,0.00407312870333433,brown,-0.221,0.452
HCFC1R1,-0.305782276736747,0.000261131772377586,brown,-0.311,0.579
SFT2D1,0.305674450919099,3.68394983956179e-05,yellow,0.508,0.697
TMEM161A,-0.305543674852879,0.00348200991279568,brown,-0.333,0.505
EMP3,-0.305498061642664,0.000447554674300348,brown,-0.33,0.786
CLK2,-0.305410953370233,3.18957505238915e-06,brown,-0.554,0.769
SMPD1,-0.305291655088413,0.000608305184148116,brown,-0.402,0.725
CDK2AP2,-0.304975155519767,0.000567664761032068,brown,-0.405,0.728
TSHR,-0.304960311508101,0.00862182647419047,brown,-0.195,0.333
DFFA,-0.304291658624646,0.00575903408013804,brown,-0.364,0.586
S1PR2,-0.304216377523473,0.00170730198615674,brown,-0.336,0.546
FUS,-0.304048851282722,0.000877504944925889,brown,-0.447,0.699
CALML4,0.30402507974356,0.00521530017506791,yellow,0.309,0.612
ZNF689,-0.304014018097788,0.0001164001702613,brown,-0.302,0.577
LPAR5,-0.30393380967587,0.00287190202877675,brown,-0.399,0.534
RNASEH2A,-0.303887862406462,0.00817250831494352,brown,-0.313,0.594
UBIAD1,-0.303510189084751,0.000116776412412751,brown,-0.353,0.534
GTPBP6,-0.30349747195951,0.000749529009626516,brown,-0.381,0.606
MYH10,0.30344337486213,0.0259726518234148,yellow,0.282,0.363
CYB561,-0.303440397115204,0.0371021993708988,brown,-0.199,0.445
