sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Female,RAB33B,yellow,0.488469795189227,1.20334367964746e-07,Up in RA,0.92,0.485
Female,GPR65,yellow,0.48484121806883,4.74638369727768e-08,Up in RA,0.816,0.509
Female,TBC1D15,yellow,0.483926989231359,1.44754820124831e-09,Up in RA,0.897,0.552
Female,PCMTD1,yellow,0.477593053762895,2.3695307343701e-09,Up in RA,0.874,0.497
Female,FMNL2,yellow,0.47731371710301,6.41019493976717e-06,Up in RA,0.451,0.36
Female,CTNNAL1,yellow,0.475144056921484,0.00457427356635058,Up in RA,0.307,0.246
Female,GPR160,yellow,0.475026976192027,2.60852150621431e-08,Up in RA,0.735,0.503
Female,PLA2G4A,yellow,0.473873217707343,6.46067401408573e-07,Up in RA,0.687,0.428
Female,B3GNT5,yellow,0.473078122799944,1.37441617333621e-05,Up in RA,0.846,0.396
Female,ARL5B,yellow,0.472882898227178,9.28618593103933e-08,Up in RA,0.803,0.477
Female,RB1CC1,yellow,0.472547923327934,4.98376704485488e-10,Up in RA,0.9,0.546
Female,PNPLA8,yellow,0.472329947580411,1.63894938682803e-08,Up in RA,0.883,0.517
Female,SERPINB2,yellow,0.471882672198876,1.91331729257578e-05,Up in RA,0.601,0.391
Female,AZI2,yellow,0.471666922705063,4.22537732436105e-09,Up in RA,0.852,0.514
Female,CCPG1,yellow,0.470017878308476,2.49257864673363e-07,Up in RA,0.893,0.472
Female,FAM198B,yellow,0.465457649228115,1.24174607997379e-08,Up in RA,0.647,0.425
Female,UBE2W,yellow,0.465067561955911,8.28991795972323e-10,Up in RA,0.933,0.555
Female,AMN1,yellow,0.462039700826539,6.58778063686018e-08,Up in RA,0.846,0.494
Female,LYSMD3,yellow,0.461996936153126,6.66389948741259e-09,Up in RA,0.853,0.498
Female,MAP4,brown,-0.460928851417927,7.14732000150327e-09,Down in RA,0.846,-0.519
Female,MPZL2,yellow,0.460118767137892,6.18280585997655e-07,Up in RA,0.641,0.383
Female,ELMOD2,yellow,0.458137687938317,2.40771138647097e-09,Up in RA,0.874,0.521
Female,KLK1,brown,-0.457601012653469,2.30272577995595e-05,Down in RA,0.338,-0.339
Female,CSGALNACT2,yellow,0.457120210221541,2.56244685262443e-11,Up in RA,0.893,0.57
Female,EXOC6,yellow,0.456920792677308,3.87337300388952e-10,Up in RA,0.881,0.558
Female,TMEM55A,yellow,0.45607755260246,7.70335417086807e-07,Up in RA,0.908,0.45
Female,CAPZA2,yellow,0.456013557419409,3.18856096766898e-10,Up in RA,0.885,0.556
Female,RORC,brown,-0.455132346208108,2.8248134082541e-07,Down in RA,0.3,-0.375
Female,CLK4,yellow,0.454705024286966,2.4906081271886e-07,Up in RA,0.842,0.463
Female,STARD3NL,yellow,0.450404718293913,5.13609812399248e-11,Up in RA,0.842,0.588
Female,C9orf72,yellow,0.449362570274852,9.05495255569804e-09,Up in RA,0.861,0.492
Female,NAB1,yellow,0.448043412222172,1.19035649701618e-08,Up in RA,0.886,0.518
Female,GAB1,yellow,0.446500619084009,1.14094536538843e-06,Up in RA,0.807,0.406
Female,COQ2,yellow,0.444874222427922,3.23688305062182e-10,Up in RA,0.667,0.537
Female,KRCC1,yellow,0.443229095824648,7.38835163388317e-09,Up in RA,0.789,0.5
Female,TPM2,brown,-0.443131218015645,3.16911221365748e-06,Down in RA,0.566,-0.431
Female,C20orf197,yellow,0.440106875319446,1.66475357386037e-05,Up in RA,0.689,0.422
Female,SPAG1,yellow,0.437281808299171,4.37075080306864e-06,Up in RA,0.644,0.423
Female,RNFT1,yellow,0.437280508815682,3.99632213613492e-07,Up in RA,0.798,0.462
Female,SAP30,yellow,0.436380215007761,9.97292187703378e-08,Up in RA,0.564,0.456
