gene,id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval
EIF6,eqtl-a-ENSG00000242372,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000242372 || id:eqtl-a-ENSG00000242372,-0.0433411032284075,0.0216829925178603,0.295313409998826
VAV2,eqtl-a-ENSG00000160293,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000160293 || id:eqtl-a-ENSG00000160293,-0.0322015211825531,0.0774716330298067,0.749216790830556
GPR160,eqtl-a-ENSG00000173890,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000173890 || id:eqtl-a-ENSG00000173890,0.00293889431096461,0.0366541600905535,0.949065416955173
TNIK,eqtl-a-ENSG00000154310,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000154310 || id:eqtl-a-ENSG00000154310,0.0466391088762832,0.127272234818523,0.776384016239786
SERINC1,eqtl-a-ENSG00000111897,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000111897 || id:eqtl-a-ENSG00000111897,0.0158518446241535,0.0274376570640543,0.666480395570035
CNDP2,eqtl-a-ENSG00000133313,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000133313 || id:eqtl-a-ENSG00000133313,-0.0330208821768929,0.175874181436201,0.881848323176297
CBLB,eqtl-a-ENSG00000114423,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000114423 || id:eqtl-a-ENSG00000114423,-0.00717769035181124,0.0484238437418393,0.906318286252193
ABCA1,eqtl-a-ENSG00000165029,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000165029 || id:eqtl-a-ENSG00000165029,-0.0392540805284488,0.0316926569977106,0.341149264288971
CDK5RAP2,eqtl-a-ENSG00000136861,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000136861 || id:eqtl-a-ENSG00000136861,0.056567119390285,0.0464351658864711,0.437578880236925
CPEB4,eqtl-a-ENSG00000113742,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000113742 || id:eqtl-a-ENSG00000113742,-0.0239602032604304,0.0189174926442423,0.332849953098303
NBN,eqtl-a-ENSG00000104320,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000104320 || id:eqtl-a-ENSG00000104320,-0.0101008027541277,0.110129919059461,0.941773948172302
ERAP2,eqtl-a-ENSG00000164308,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164308 || id:eqtl-a-ENSG00000164308,0.00656398419716689,0.0117083041973893,0.631477914801132
QKI,eqtl-a-ENSG00000112531,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000112531 || id:eqtl-a-ENSG00000112531,0.00829370583804408,0.0152670087530321,0.68319176379279
PPP2R3C,eqtl-a-ENSG00000092020,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000092020 || id:eqtl-a-ENSG00000092020,0.00681064766599098,0.0185770544167499,0.749058261028962
POMT1,eqtl-a-ENSG00000130714,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000130714 || id:eqtl-a-ENSG00000130714,-0.0811974504729039,0.0633023158822066,0.42155914265512
FNDC3A,eqtl-a-ENSG00000102531,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000102531 || id:eqtl-a-ENSG00000102531,-0.0735026422604726,0.18553158228456,0.759865066122793
PARP1,eqtl-a-ENSG00000143799,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000143799 || id:eqtl-a-ENSG00000143799,0.0462003081045046,0.0335373980749477,0.399737558324179
MAD1L1,eqtl-a-ENSG00000002822,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000002822 || id:eqtl-a-ENSG00000002822,0.0480124708425431,0.0457581523745374,0.484698114698632
C11orf54,eqtl-a-ENSG00000182919,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000182919 || id:eqtl-a-ENSG00000182919,-0.0590030265790876,0.0272725627003657,0.27563856765729
ADCK1,eqtl-a-ENSG00000063761,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000063761 || id:eqtl-a-ENSG00000063761,-0.0152443830732387,0.020220977503873,0.58875269299414
VIPR1,eqtl-a-ENSG00000114812,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000114812 || id:eqtl-a-ENSG00000114812,0.0576388781464825,0.0672777739080726,0.549026099988606
C1orf162,eqtl-a-ENSG00000143110,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000143110 || id:eqtl-a-ENSG00000143110,0.0552415745467383,0.0884060391700325,0.644447809998693
ENGASE,eqtl-a-ENSG00000167280,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000167280 || id:eqtl-a-ENSG00000167280,-0.00216028629277214,0.0496476806419248,0.972316652368958
FAM83H,eqtl-a-ENSG00000180921,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000180921 || id:eqtl-a-ENSG00000180921,-0.0386526897925889,0.247550257763759,0.901393886453245
BET1L,eqtl-a-ENSG00000177951,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000177951 || id:eqtl-a-ENSG00000177951,-0.0674574577896477,0.0277393247537699,0.248367324607854
PRPF31,eqtl-a-ENSG00000105618,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000105618 || id:eqtl-a-ENSG00000105618,-0.00255244455068737,0.0492339175069321,0.967025105796853
DEGS1,eqtl-a-ENSG00000143753,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000143753 || id:eqtl-a-ENSG00000143753,0.0211032202273176,0.0321019643250567,0.629776025176778
BTN3A1,eqtl-a-ENSG00000026950,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000026950 || id:eqtl-a-ENSG00000026950,-0.0289365164125729,0.0162971919080549,0.21779453666506
SIGMAR1,eqtl-a-ENSG00000147955,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000147955 || id:eqtl-a-ENSG00000147955,-0.000846994014923964,0.0217335832935778,0.972453325980783
LONP1,eqtl-a-ENSG00000196365,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000196365 || id:eqtl-a-ENSG00000196365,-0.011625493258541,0.039968370181566,0.81980013529411
GABBR1,eqtl-a-ENSG00000204681,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204681 || id:eqtl-a-ENSG00000204681,0.115624302285362,0.0322679185948213,0.173256884695552
FGL2,eqtl-a-ENSG00000127951,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000127951 || id:eqtl-a-ENSG00000127951,-0.0180344782237559,0.0442352536896631,0.753550427242737
LPAR5,eqtl-a-ENSG00000184574,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000184574 || id:eqtl-a-ENSG00000184574,-0.0106322084877815,0.0306328747168697,0.787320932346641
KCTD10,eqtl-a-ENSG00000110906,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000110906 || id:eqtl-a-ENSG00000110906,-0.0547563395390595,0.0610227413978827,0.435678426205701
DCAKD,eqtl-a-ENSG00000172992,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000172992 || id:eqtl-a-ENSG00000172992,-0.0253769714747844,0.0144792913770498,0.22175948347182
TMEM170B,eqtl-a-ENSG00000205269,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000205269 || id:eqtl-a-ENSG00000205269,-0.0210145920099341,0.0249483636009908,0.554353094625468
CBX6,eqtl-a-ENSG00000183741,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000183741 || id:eqtl-a-ENSG00000183741,0.0446138602276059,0.0384698743916254,0.45300793370818
NFRKB,eqtl-a-ENSG00000170322,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000170322 || id:eqtl-a-ENSG00000170322,0.0042611502500036,0.0363448010098862,0.925700391524354
