gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
SELK,0.193657282064278,9.7954198494063,4.13100914079607,5.4630456307498e-05,0.000205965052086843,TRUE,Up in RA
TRIM58,-0.450123732975636,9.91728311652726,-4.13080846248492,5.4674125238938e-05,0.000206080400798991,TRUE,Down in RA
ZNF133,-0.124629474533837,5.15579707037995,-4.12980914417932,5.48920803436597e-05,0.000206852465325629,TRUE,Down in RA
TACO1,-0.124360754887051,7.28400050425,-4.12932257228413,5.49985036548264e-05,0.000207203970628831,TRUE,Down in RA
SLC3A1,-0.195366199478308,5.82867773236574,-4.12914414644343,5.50375784223543e-05,0.000207301636480662,TRUE,Down in RA
PELI3,-0.160746866952788,5.54113274767138,-4.12838901693137,5.52032434415694e-05,0.000207875949921037,TRUE,Down in RA
MYO9B,-0.179469360319026,6.286236988863,-4.12797913815562,5.52933644901919e-05,0.00020816558501526,TRUE,Down in RA
PCCB,-0.119208438275434,6.74041526533703,-4.12723359189129,5.54576499069307e-05,0.000208704259652887,TRUE,Down in RA
NFKBIB,-0.153838180930066,6.73445553009686,-4.12720967151267,5.54629286104133e-05,0.000208704259652887,TRUE,Down in RA
ZNF600,0.261484545480385,7.43940712723709,4.1264797507179,5.5624237047972e-05,0.000209261300378802,TRUE,Up in RA
SLC38A7,-0.143013676004976,5.1537423024918,-4.12110276185137,5.68264034904078e-05,0.000213732903416678,TRUE,Down in RA
LACTB2,0.203815273059416,5.82478142005286,4.12076978930273,5.6901658196812e-05,0.000213964894598365,TRUE,Up in RA
CCNG1,0.168143619908931,9.3266590329314,4.12023390268087,5.70229731073813e-05,0.000214352987427535,TRUE,Up in RA
SEC24B,0.108147623870953,9.02455064060247,4.12019378792423,5.70320642816141e-05,0.000214352987427535,TRUE,Up in RA
ATP6V0D1,-0.201136964164449,9.71664159298639,-4.11928704735083,5.72379277167737e-05,0.000215027314939696,TRUE,Down in RA
SMCR8,-0.118245054710503,9.37685161120875,-4.11928337677427,5.72387625126539e-05,0.000215027314939696,TRUE,Down in RA
C10orf35,-0.201898997430884,4.79774812450863,-4.11898513365063,5.73066305341924e-05,0.00021517005438337,TRUE,Down in RA
LRRC40,0.243908674512744,8.16073141890481,4.11898212840627,5.7307314796599e-05,0.00021517005438337,TRUE,Up in RA
IQCE,-0.257110324852802,5.82241295567388,-4.11893647865379,5.73177097225002e-05,0.00021517005438337,TRUE,Down in RA
TMEM42,0.150475152608278,7.05356969323432,4.1186705586989,5.73782982742393e-05,0.000215346218023056,TRUE,Up in RA
PITPNM1,-0.127434703514623,5.1723121133252,-4.1179059563474,5.75528500350326e-05,0.000215949910759871,TRUE,Down in RA
SEC11C,0.287335958776382,6.61331440814462,4.11758020677352,5.76273696089691e-05,0.000216178064527887,TRUE,Up in RA
FUT11,-0.164945101628502,5.32344292782528,-4.11730123736316,5.7691260815832e-05,0.000216366248926947,TRUE,Down in RA
TBRG1,-0.112247598774319,9.53870622058512,-4.11634117451464,5.79116573043646e-05,0.000217141164150499,TRUE,Down in RA
UBA2,0.168452401126686,9.53826211145797,4.11482225604803,5.82619900754337e-05,0.000218402794187648,TRUE,Up in RA
SLC26A11,-0.149277649981611,6.94337576852756,-4.11440487019956,5.83586123613293e-05,0.000218712983036527,TRUE,Down in RA
PAICS,-0.144240065956081,7.83771518161921,-4.11403782879036,5.84437066143822e-05,0.000218979830606728,TRUE,Down in RA
PCTP,0.194598133692009,8.25057436831494,4.11326072345528,5.86242604510244e-05,0.000219604139137238,TRUE,Up in RA
IKZF4,-0.171781098798135,4.58614208573123,-4.11196615920822,5.89262245118064e-05,0.00022068284081245,TRUE,Down in RA
RFWD3,-0.213083374828922,6.85586972033813,-4.1117553321969,5.89755414266208e-05,0.000220815073517298,TRUE,Down in RA
CYC1,-0.11479346486154,7.95834485074243,-4.11044630894309,5.92826327337427e-05,0.00022188637000795,TRUE,Down in RA
NAPSB,-0.294668141739092,6.70263771740024,-4.11041576109762,5.92898173237002e-05,0.00022188637000795,TRUE,Down in RA
TTC30B,0.157984442342287,3.66200160725038,4.10905736340852,5.96101423701204e-05,0.000223032203698127,TRUE,Up in RA
FSTL4,-0.163817190718862,3.56699951607556,-4.10893910170381,5.9638107813377e-05,0.000223055845426007,TRUE,Down in RA
ZNF710,-0.16836064804642,8.03674257839201,-4.10891096857554,5.96447623212979e-05,0.000223055845426007,TRUE,Down in RA
TBC1D8B,0.100203800161449,3.58243869221972,4.10824479571825,5.98025436923723e-05,0.000223592859635404,TRUE,Up in RA
WDR36,0.20321466648279,7.90116298204426,4.10794689148111,5.98732304156935e-05,0.000223804062376708,TRUE,Up in RA
RPL24,0.104845925930849,12.3529291459946,4.10754605814472,5.99684660175951e-05,0.000224106906077608,TRUE,Up in RA
PLCD1,-0.154910117031907,5.31001005011329,-4.10745280759904,5.99906425131107e-05,0.000224136643264793,TRUE,Down in RA
FAM122A,0.138899230158789,7.05450820515111,4.10712558963473,6.00685222102873e-05,0.000224374434976483,TRUE,Up in RA
GDPD1,0.215182607876029,5.25364208660667,4.10655823614352,6.02037842844011e-05,0.000224826404092636,TRUE,Up in RA
ZDHHC4,-0.126791008257925,7.85412621235097,-4.10480445986948,6.06237408039621e-05,0.000226233907739786,TRUE,Down in RA
ANXA5,-0.155141861063901,9.77810414823955,-4.10353621698763,6.09291728304333e-05,0.000227319893804999,TRUE,Down in RA
TNFRSF1B,-0.17847006402641,10.8258105044179,-4.10339630536792,6.09629576783906e-05,0.000227392120654158,TRUE,Down in RA
WDR45,-0.19677735969278,9.19087982356472,-4.10229852078204,6.12286640158504e-05,0.000228329176929702,TRUE,Down in RA
UPF1,-0.201166774352855,8.32131393528782,-4.10179531274198,6.1350828947669e-05,0.000228730633089429,TRUE,Down in RA
CYB5RL,-0.177438339651878,4.91813395933684,-4.10043659876493,6.16818501481889e-05,0.000229856029287447,TRUE,Down in RA
