sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Male,SPOCK2,brown,-0.498160919700796,6.85722079230607e-05,Down in RA,0.805,-0.449
Male,ZNF362,brown,-0.497745062721954,4.96755150484526e-07,Down in RA,0.77,-0.443
Male,ZNF573,brown,-0.497222107677465,1.97556317441598e-05,Down in RA,0.749,-0.48
Male,PPP1CB,yellow,0.497209244789608,1.63362284906581e-06,Up in RA,0.8,0.418
Male,CD101,brown,-0.497067889263171,0.0123447492268525,Down in RA,0.358,-0.212
Male,XRCC6,brown,-0.497016010891425,6.58581721504154e-07,Down in RA,0.879,-0.489
Male,CSGALNACT1,yellow,0.496323444316352,0.00739923182707975,Up in RA,0.603,0.265
Male,NPCDR1,brown,-0.495998465029675,0.0140690575388626,Down in RA,0.371,-0.091
Male,ABCF1,brown,-0.495902868558536,1.47152906540654e-06,Down in RA,0.865,-0.581
Male,HSP90AB1,brown,-0.495154842228459,1.16524911506057e-05,Down in RA,0.794,-0.486
Male,SMCHD1,yellow,0.494987882058282,8.76998678216491e-06,Up in RA,0.849,0.462
Male,PCSK7,brown,-0.494391569768495,4.62676499723733e-05,Down in RA,0.781,-0.548
Male,SND1,brown,-0.494312165354782,4.78117541834206e-06,Down in RA,0.749,-0.514
Male,USP36,brown,-0.494020769009693,7.13561331823511e-07,Down in RA,0.842,-0.547
Male,GK,yellow,0.493872927003478,0.000892079263276541,Up in RA,0.739,0.34
Male,PSMD2,brown,-0.493727622727706,1.15877464100903e-07,Down in RA,0.814,-0.5
Male,GALNT6,brown,-0.493483850069345,0.000239438428181643,Down in RA,0.452,-0.369
Male,NUMA1,brown,-0.49337464803846,6.58916141302172e-07,Down in RA,0.886,-0.539
Male,NR4A2,yellow,0.492213383080283,0.000686577727629305,Up in RA,0.474,0.326
Male,CD37,brown,-0.491930144004199,2.74454540941014e-05,Down in RA,0.753,-0.424
Male,TM6SF1,yellow,0.491728532809128,0.000988036267676858,Up in RA,0.798,0.442
