gene,id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
PNPLA7,eqtl-a-ENSG00000130653,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000130653 || id:eqtl-a-ENSG00000130653,MR Egger,0.899591237190025,1,0.342891339118342
PNPLA7,eqtl-a-ENSG00000130653,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000130653 || id:eqtl-a-ENSG00000130653,Inverse variance weighted,0.899793546203869,2,0.637693975395318
SNX29,eqtl-a-ENSG00000048471,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000048471 || id:eqtl-a-ENSG00000048471,MR Egger,0.168665190514225,1,0.681300829729301
SNX29,eqtl-a-ENSG00000048471,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000048471 || id:eqtl-a-ENSG00000048471,Inverse variance weighted,2.85654004770949,2,0.239723279281137
FNBP1,eqtl-a-ENSG00000187239,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000187239 || id:eqtl-a-ENSG00000187239,MR Egger,0.120214940668659,1,0.728801485905748
FNBP1,eqtl-a-ENSG00000187239,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000187239 || id:eqtl-a-ENSG00000187239,Inverse variance weighted,0.357821118279985,2,0.836180684772119
RMI1,eqtl-a-ENSG00000178966,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000178966 || id:eqtl-a-ENSG00000178966,MR Egger,1.38073458090324,2,0.501391878792862
RMI1,eqtl-a-ENSG00000178966,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000178966 || id:eqtl-a-ENSG00000178966,Inverse variance weighted,2.13779825267043,3,0.544303847956691
DCPS,eqtl-a-ENSG00000110063,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000110063 || id:eqtl-a-ENSG00000110063,MR Egger,1.14237201654333,1,0.285151665902866
DCPS,eqtl-a-ENSG00000110063,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000110063 || id:eqtl-a-ENSG00000110063,Inverse variance weighted,2.84408690767366,2,0.241220589781259
LHPP,eqtl-a-ENSG00000107902,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000107902 || id:eqtl-a-ENSG00000107902,MR Egger,1.52406736382796,2,0.466716308702197
LHPP,eqtl-a-ENSG00000107902,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000107902 || id:eqtl-a-ENSG00000107902,Inverse variance weighted,3.30238391173221,3,0.347310986403042
WWOX,eqtl-a-ENSG00000186153,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000186153 || id:eqtl-a-ENSG00000186153,MR Egger,1.42429411171553,1,0.232697904457857
WWOX,eqtl-a-ENSG00000186153,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000186153 || id:eqtl-a-ENSG00000186153,Inverse variance weighted,4.31041995916214,2,0.115878855864459
ST6GALNAC6,eqtl-a-ENSG00000160408,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000160408 || id:eqtl-a-ENSG00000160408,MR Egger,3.04802577711097,1,0.0808353497852819
ST6GALNAC6,eqtl-a-ENSG00000160408,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000160408 || id:eqtl-a-ENSG00000160408,Inverse variance weighted,3.04955990412928,2,0.217668949198598
UBE2D1,eqtl-a-ENSG00000072401,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000072401 || id:eqtl-a-ENSG00000072401,MR Egger,0.9907096530974,1,0.319568990917471
UBE2D1,eqtl-a-ENSG00000072401,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000072401 || id:eqtl-a-ENSG00000072401,Inverse variance weighted,1.54371216130982,2,0.462154475767161
ABI1,eqtl-a-ENSG00000136754,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000136754 || id:eqtl-a-ENSG00000136754,MR Egger,9.75669561230581,1,0.00178670769832718
ABI1,eqtl-a-ENSG00000136754,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000136754 || id:eqtl-a-ENSG00000136754,Inverse variance weighted,9.87250800736394,2,0.0071814497326234
DSE,eqtl-a-ENSG00000111817,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000111817 || id:eqtl-a-ENSG00000111817,MR Egger,0.353712795857946,2,0.83790010007369
DSE,eqtl-a-ENSG00000111817,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000111817 || id:eqtl-a-ENSG00000111817,Inverse variance weighted,0.951239451602706,3,0.813048186155954
SLK,eqtl-a-ENSG00000065613,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000065613 || id:eqtl-a-ENSG00000065613,MR Egger,0.193317653317936,1,0.660169589390307
SLK,eqtl-a-ENSG00000065613,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000065613 || id:eqtl-a-ENSG00000065613,Inverse variance weighted,0.246333707812856,2,0.884116132022776
CD84,eqtl-a-ENSG00000066294,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000066294 || id:eqtl-a-ENSG00000066294,MR Egger,3.515756375784,1,0.0607879040800182
CD84,eqtl-a-ENSG00000066294,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000066294 || id:eqtl-a-ENSG00000066294,Inverse variance weighted,3.51903951497385,2,0.172127506923591
GALT,eqtl-a-ENSG00000213930,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000213930 || id:eqtl-a-ENSG00000213930,MR Egger,9.57137854502193e-06,1,0.997531537038945
GALT,eqtl-a-ENSG00000213930,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000213930 || id:eqtl-a-ENSG00000213930,Inverse variance weighted,0.248458464999368,2,0.8831773647216
LPAR1,eqtl-a-ENSG00000198121,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000198121 || id:eqtl-a-ENSG00000198121,MR Egger,0.00899862913919556,1,0.924425151296458
LPAR1,eqtl-a-ENSG00000198121,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000198121 || id:eqtl-a-ENSG00000198121,Inverse variance weighted,3.95905085704294,2,0.138134776583288
OSBPL5,eqtl-a-ENSG00000021762,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000021762 || id:eqtl-a-ENSG00000021762,MR Egger,1.48592646751318,1,0.222849568595457
OSBPL5,eqtl-a-ENSG00000021762,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000021762 || id:eqtl-a-ENSG00000021762,Inverse variance weighted,1.50807033698101,2,0.470464314618205
BCAT1,eqtl-a-ENSG00000060982,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000060982 || id:eqtl-a-ENSG00000060982,MR Egger,0.218083730653484,1,0.640503914485722
BCAT1,eqtl-a-ENSG00000060982,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000060982 || id:eqtl-a-ENSG00000060982,Inverse variance weighted,1.74775862442985,2,0.417329453726915
M6PR,eqtl-a-ENSG00000003056,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000003056 || id:eqtl-a-ENSG00000003056,MR Egger,0.241181853462575,1,0.623353818068879
M6PR,eqtl-a-ENSG00000003056,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000003056 || id:eqtl-a-ENSG00000003056,Inverse variance weighted,0.996830902105982,2,0.607492499070332
LPCAT2,eqtl-a-ENSG00000087253,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000087253 || id:eqtl-a-ENSG00000087253,MR Egger,0.244576277221021,1,0.62092024889122
LPCAT2,eqtl-a-ENSG00000087253,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000087253 || id:eqtl-a-ENSG00000087253,Inverse variance weighted,2.52499853316255,2,0.28294598463194
USP36,eqtl-a-ENSG00000055483,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000055483 || id:eqtl-a-ENSG00000055483,MR Egger,3.5158072130366,1,0.0607860392516598
USP36,eqtl-a-ENSG00000055483,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000055483 || id:eqtl-a-ENSG00000055483,Inverse variance weighted,3.6522838002305,2,0.161033654752103
CDK5RAP3,eqtl-a-ENSG00000108465,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000108465 || id:eqtl-a-ENSG00000108465,Inverse variance weighted,0.259182150734963,1,0.610682585642095
MCM3AP,eqtl-a-ENSG00000160294,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000160294 || id:eqtl-a-ENSG00000160294,MR Egger,0.437790641040267,1,0.508190750940356
MCM3AP,eqtl-a-ENSG00000160294,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000160294 || id:eqtl-a-ENSG00000160294,Inverse variance weighted,1.15862226942612,2,0.560284193990645
ANXA3,eqtl-a-ENSG00000138772,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000138772 || id:eqtl-a-ENSG00000138772,MR Egger,0.788668743163488,2,0.674128609101662
ANXA3,eqtl-a-ENSG00000138772,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000138772 || id:eqtl-a-ENSG00000138772,Inverse variance weighted,1.46405642565851,3,0.690590583147474
TMEM144,eqtl-a-ENSG00000164124,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164124 || id:eqtl-a-ENSG00000164124,MR Egger,0.88932432795223,2,0.641040806131517
TMEM144,eqtl-a-ENSG00000164124,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164124 || id:eqtl-a-ENSG00000164124,Inverse variance weighted,0.889495712502142,3,0.827961967283726
PTDSS2,eqtl-a-ENSG00000174915,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000174915 || id:eqtl-a-ENSG00000174915,MR Egger,0.00163958224131875,1,0.967701080028689
PTDSS2,eqtl-a-ENSG00000174915,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000174915 || id:eqtl-a-ENSG00000174915,Inverse variance weighted,0.00171623777519684,2,0.999142249191122
ZNF589,eqtl-a-ENSG00000164048,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164048 || id:eqtl-a-ENSG00000164048,MR Egger,0.00894882774534962,1,0.924633944761857
