gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
IPO13,FALSE,1,1,Wald ratio,1.119,0.825,1.516,0.47,0.892,1,Wald ratio,1.119,0.825,1.516,0.47,0.892,TRUE,ns in both,TRUE
RANBP3,FALSE,19,1,Wald ratio,0.851,0.55,1.317,0.47,0.892,1,Wald ratio,0.851,0.55,1.317,0.47,0.892,TRUE,ns in both,TRUE
SERAC1,FALSE,6,4,Inverse variance weighted,0.973,0.903,1.048,0.47,0.892,4,Inverse variance weighted,0.973,0.903,1.048,0.47,0.892,TRUE,ns in both,TRUE
TRIM28,FALSE,19,1,Wald ratio,1.095,0.856,1.399,0.47,0.892,1,Wald ratio,1.095,0.856,1.399,0.47,0.892,TRUE,ns in both,TRUE
TSEN54,FALSE,17,1,Wald ratio,1.033,0.946,1.127,0.47,0.892,1,Wald ratio,1.033,0.946,1.127,0.47,0.892,TRUE,ns in both,TRUE
CPNE8,FALSE,12,3,Inverse variance weighted,1.241,0.69,2.233,0.471,0.892,3,Inverse variance weighted,1.241,0.69,2.233,0.471,0.892,TRUE,ns in both,TRUE
CEP97,FALSE,3,2,Inverse variance weighted,0.928,0.757,1.138,0.472,0.892,2,Inverse variance weighted,0.928,0.757,1.138,0.472,0.892,TRUE,ns in both,TRUE
LILRA4,FALSE,19,2,Inverse variance weighted,0.875,0.605,1.265,0.476,0.892,2,Inverse variance weighted,0.875,0.605,1.265,0.476,0.892,TRUE,ns in both,TRUE
TMEM63A,FALSE,1,3,Inverse variance weighted,1.019,0.968,1.073,0.477,0.892,3,Inverse variance weighted,1.019,0.968,1.073,0.477,0.892,TRUE,ns in both,TRUE
ASAH1,FALSE,8,3,Inverse variance weighted,0.985,0.945,1.027,0.478,0.892,3,Inverse variance weighted,0.985,0.945,1.027,0.478,0.892,TRUE,ns in both,TRUE
PGPEP1,FALSE,19,2,Inverse variance weighted,0.919,0.728,1.16,0.478,0.892,2,Inverse variance weighted,0.919,0.728,1.16,0.478,0.892,TRUE,ns in both,TRUE
CDK5R1,FALSE,17,3,Inverse variance weighted,1.127,0.809,1.571,0.479,0.892,3,Inverse variance weighted,1.127,0.809,1.571,0.479,0.892,TRUE,ns in both,TRUE
AGTPBP1,FALSE,9,1,Wald ratio,1.094,0.852,1.405,0.48,0.892,1,Wald ratio,1.094,0.852,1.405,0.48,0.892,TRUE,ns in both,TRUE
ALDH16A1,FALSE,19,1,Wald ratio,1.035,0.94,1.14,0.48,0.892,1,Wald ratio,1.035,0.94,1.14,0.48,0.892,TRUE,ns in both,TRUE
BTN2A1,TRUE,6,1,Wald ratio,1.094,0.852,1.404,0.48,0.892,,,,,,,,FALSE,ns in both,
DPAGT1,FALSE,11,1,Wald ratio,0.963,0.867,1.069,0.48,0.892,1,Wald ratio,0.963,0.867,1.069,0.48,0.892,TRUE,ns in both,TRUE
FARSB,FALSE,2,1,Wald ratio,1.174,0.753,1.831,0.48,0.892,1,Wald ratio,1.174,0.753,1.831,0.48,0.892,TRUE,ns in both,TRUE
GPSM2,FALSE,1,1,Wald ratio,1.446,0.519,4.028,0.48,0.892,1,Wald ratio,1.446,0.519,4.028,0.48,0.892,TRUE,ns in both,TRUE
HEATR6,FALSE,17,1,Wald ratio,1.015,0.975,1.056,0.48,0.892,1,Wald ratio,1.015,0.975,1.056,0.48,0.892,TRUE,ns in both,TRUE
KLHDC3,FALSE,6,1,Wald ratio,0.892,0.65,1.225,0.48,0.892,1,Wald ratio,0.892,0.65,1.225,0.48,0.892,TRUE,ns in both,TRUE
PEX14,FALSE,1,1,Wald ratio,0.968,0.883,1.06,0.48,0.892,1,Wald ratio,0.968,0.883,1.06,0.48,0.892,TRUE,ns in both,TRUE
RNF26,FALSE,11,1,Wald ratio,0.927,0.751,1.144,0.48,0.892,1,Wald ratio,0.927,0.751,1.144,0.48,0.892,TRUE,ns in both,TRUE
CD4,FALSE,12,2,Inverse variance weighted,0.901,0.674,1.204,0.481,0.892,2,Inverse variance weighted,0.901,0.674,1.204,0.481,0.892,TRUE,ns in both,TRUE
TMEM170B,FALSE,6,3,Inverse variance weighted,1.04,0.933,1.159,0.481,0.892,3,Inverse variance weighted,1.04,0.933,1.159,0.481,0.892,TRUE,ns in both,TRUE
APEH,FALSE,3,2,Inverse variance weighted,1.023,0.96,1.092,0.482,0.892,2,Inverse variance weighted,1.023,0.96,1.092,0.482,0.892,TRUE,ns in both,TRUE
MFGE8,FALSE,15,2,Inverse variance weighted,1.034,0.941,1.137,0.483,0.892,2,Inverse variance weighted,1.034,0.941,1.137,0.483,0.892,TRUE,ns in both,TRUE
OGFOD1,FALSE,16,2,Inverse variance weighted,1.07,0.886,1.293,0.483,0.892,2,Inverse variance weighted,1.07,0.886,1.293,0.483,0.892,TRUE,ns in both,TRUE
BANF1,FALSE,11,2,Inverse variance weighted,1.088,0.859,1.379,0.484,0.892,2,Inverse variance weighted,1.088,0.859,1.379,0.484,0.892,TRUE,ns in both,TRUE
PTGS2,FALSE,1,2,Inverse variance weighted,1.098,0.844,1.43,0.485,0.892,2,Inverse variance weighted,1.098,0.844,1.43,0.485,0.892,TRUE,ns in both,TRUE
HIVEP1,FALSE,6,3,Inverse variance weighted,0.939,0.785,1.123,0.49,0.892,3,Inverse variance weighted,0.939,0.785,1.123,0.49,0.892,TRUE,ns in both,TRUE
KDSR,FALSE,18,1,Wald ratio,0.969,0.885,1.06,0.49,0.892,1,Wald ratio,0.969,0.885,1.06,0.49,0.892,TRUE,ns in both,TRUE
KIDINS220,FALSE,2,1,Wald ratio,0.839,0.511,1.38,0.49,0.892,1,Wald ratio,0.839,0.511,1.38,0.49,0.892,TRUE,ns in both,TRUE
SAMD1,FALSE,19,1,Wald ratio,0.6,0.141,2.56,0.49,0.892,1,Wald ratio,0.6,0.141,2.56,0.49,0.892,TRUE,ns in both,TRUE
SKIL,FALSE,3,1,Wald ratio,0.895,0.653,1.227,0.49,0.892,1,Wald ratio,0.895,0.653,1.227,0.49,0.892,TRUE,ns in both,TRUE
YTHDF3,FALSE,8,1,Wald ratio,1.058,0.901,1.243,0.49,0.892,1,Wald ratio,1.058,0.901,1.243,0.49,0.892,TRUE,ns in both,TRUE
ZAP70,FALSE,2,1,Wald ratio,0.97,0.889,1.058,0.49,0.892,1,Wald ratio,0.97,0.889,1.058,0.49,0.892,TRUE,ns in both,TRUE
SP140L,FALSE,2,3,Inverse variance weighted,1.014,0.974,1.056,0.492,0.892,3,Inverse variance weighted,1.014,0.974,1.056,0.492,0.892,TRUE,ns in both,TRUE
EMP3,FALSE,19,2,Inverse variance weighted,0.906,0.683,1.202,0.493,0.892,2,Inverse variance weighted,0.906,0.683,1.202,0.493,0.892,TRUE,ns in both,TRUE
EAPP,FALSE,14,2,Inverse variance weighted,0.899,0.66,1.224,0.499,0.892,2,Inverse variance weighted,0.899,0.66,1.224,0.499,0.892,TRUE,ns in both,TRUE
UBE2I,FALSE,16,2,Inverse variance weighted,1.031,0.945,1.124,0.499,0.892,2,Inverse variance weighted,1.031,0.945,1.124,0.499,0.892,TRUE,ns in both,TRUE
ALKBH5,FALSE,17,1,Wald ratio,0.954,0.831,1.095,0.5,0.892,1,Wald ratio,0.954,0.831,1.095,0.5,0.892,TRUE,ns in both,TRUE
ANGPT1,FALSE,8,3,Inverse variance weighted,0.966,0.874,1.068,0.5,0.892,3,Inverse variance weighted,0.966,0.874,1.068,0.5,0.892,TRUE,ns in both,TRUE
CNTROB,FALSE,17,1,Wald ratio,0.808,0.434,1.502,0.5,0.892,1,Wald ratio,0.808,0.434,1.502,0.5,0.892,TRUE,ns in both,TRUE
COG4,FALSE,16,1,Wald ratio,0.969,0.883,1.063,0.5,0.892,1,Wald ratio,0.969,0.883,1.063,0.5,0.892,TRUE,ns in both,TRUE
IPO4,FALSE,14,1,Wald ratio,0.914,0.703,1.188,0.5,0.892,1,Wald ratio,0.914,0.703,1.188,0.5,0.892,TRUE,ns in both,TRUE
MZF1,FALSE,19,2,Inverse variance weighted,1.048,0.915,1.201,0.5,0.892,2,Inverse variance weighted,1.048,0.915,1.201,0.5,0.892,TRUE,ns in both,TRUE
PDK4,FALSE,7,1,Wald ratio,0.961,0.856,1.079,0.5,0.892,1,Wald ratio,0.961,0.856,1.079,0.5,0.892,TRUE,ns in both,TRUE
PITPNB,FALSE,22,1,Wald ratio,1.078,0.866,1.343,0.5,0.892,1,Wald ratio,1.078,0.866,1.343,0.5,0.892,TRUE,ns in both,TRUE
TUT1,FALSE,11,1,Wald ratio,0.908,0.686,1.202,0.5,0.892,1,Wald ratio,0.908,0.686,1.202,0.5,0.892,TRUE,ns in both,TRUE
MCTP1,FALSE,5,2,Inverse variance weighted,0.955,0.836,1.092,0.501,0.892,2,Inverse variance weighted,0.955,0.836,1.092,0.501,0.892,TRUE,ns in both,TRUE
MBOAT1,FALSE,6,3,Inverse variance weighted,1.061,0.892,1.262,0.502,0.892,3,Inverse variance weighted,1.061,0.892,1.262,0.502,0.892,TRUE,ns in both,TRUE
MPRIP,FALSE,17,2,Inverse variance weighted,1.102,0.829,1.465,0.502,0.892,2,Inverse variance weighted,1.102,0.829,1.465,0.502,0.892,TRUE,ns in both,TRUE
CCDC92,FALSE,12,3,Inverse variance weighted,1.033,0.939,1.137,0.504,0.892,3,Inverse variance weighted,1.033,0.939,1.137,0.504,0.892,TRUE,ns in both,TRUE
CARD16,FALSE,11,4,Inverse variance weighted,1.044,0.92,1.185,0.506,0.892,4,Inverse variance weighted,1.044,0.92,1.185,0.506,0.892,TRUE,ns in both,TRUE
FXYD5,FALSE,19,3,Inverse variance weighted,1.024,0.954,1.1,0.509,0.892,3,Inverse variance weighted,1.024,0.954,1.1,0.509,0.892,TRUE,ns in both,TRUE
MRPL38,FALSE,17,2,Inverse variance weighted,1.29,0.606,2.744,0.509,0.892,2,Inverse variance weighted,1.29,0.606,2.744,0.509,0.892,TRUE,ns in both,TRUE
ZMAT3,FALSE,3,3,Inverse variance weighted,0.98,0.922,1.041,0.509,0.892,3,Inverse variance weighted,0.98,0.922,1.041,0.509,0.892,TRUE,ns in both,TRUE
FBXO34,FALSE,14,1,Wald ratio,0.964,0.863,1.076,0.51,0.892,1,Wald ratio,0.964,0.863,1.076,0.51,0.892,TRUE,ns in both,TRUE
GMFG,FALSE,19,1,Wald ratio,0.924,0.731,1.169,0.51,0.892,1,Wald ratio,0.924,0.731,1.169,0.51,0.892,TRUE,ns in both,TRUE
GOT1,FALSE,10,1,Wald ratio,0.922,0.723,1.175,0.51,0.892,1,Wald ratio,0.922,0.723,1.175,0.51,0.892,TRUE,ns in both,TRUE
GUSB,FALSE,7,1,Wald ratio,1.033,0.938,1.138,0.51,0.892,1,Wald ratio,1.033,0.938,1.138,0.51,0.892,TRUE,ns in both,TRUE
MON1A,FALSE,3,1,Wald ratio,1.046,0.914,1.198,0.51,0.892,1,Wald ratio,1.046,0.914,1.198,0.51,0.892,TRUE,ns in both,TRUE
NDUFA11,FALSE,19,1,Wald ratio,1.063,0.887,1.273,0.51,0.892,1,Wald ratio,1.063,0.887,1.273,0.51,0.892,TRUE,ns in both,TRUE
NICN1,FALSE,3,1,Wald ratio,0.834,0.486,1.432,0.51,0.892,1,Wald ratio,0.834,0.486,1.432,0.51,0.892,TRUE,ns in both,TRUE
NUP210,FALSE,3,2,Inverse variance weighted,0.967,0.873,1.07,0.51,0.892,2,Inverse variance weighted,0.967,0.873,1.07,0.51,0.892,TRUE,ns in both,TRUE
PHC1,FALSE,12,1,Wald ratio,0.931,0.753,1.152,0.51,0.892,1,Wald ratio,0.931,0.753,1.152,0.51,0.892,TRUE,ns in both,TRUE
RAD9A,FALSE,11,1,Wald ratio,1.148,0.762,1.728,0.51,0.892,1,Wald ratio,1.148,0.762,1.728,0.51,0.892,TRUE,ns in both,TRUE
RIPK2,FALSE,8,2,Inverse variance weighted,1.044,0.919,1.185,0.51,0.892,2,Inverse variance weighted,1.044,0.919,1.185,0.51,0.892,TRUE,ns in both,TRUE
STRN3,FALSE,14,1,Wald ratio,1.05,0.908,1.215,0.51,0.892,1,Wald ratio,1.05,0.908,1.215,0.51,0.892,TRUE,ns in both,TRUE
STT3A,FALSE,11,1,Wald ratio,0.878,0.595,1.294,0.51,0.892,1,Wald ratio,0.878,0.595,1.294,0.51,0.892,TRUE,ns in both,TRUE
TERF2,FALSE,16,1,Wald ratio,0.966,0.871,1.071,0.51,0.892,1,Wald ratio,0.966,0.871,1.071,0.51,0.892,TRUE,ns in both,TRUE
TOPORS,FALSE,9,1,Wald ratio,0.882,0.608,1.28,0.51,0.892,1,Wald ratio,0.882,0.608,1.28,0.51,0.892,TRUE,ns in both,TRUE
UPF2,FALSE,10,1,Wald ratio,1.309,0.588,2.913,0.51,0.892,1,Wald ratio,1.309,0.588,2.913,0.51,0.892,TRUE,ns in both,TRUE
MEN1,FALSE,11,2,Inverse variance weighted,1.065,0.882,1.285,0.512,0.892,2,Inverse variance weighted,1.065,0.882,1.285,0.512,0.892,TRUE,ns in both,TRUE
SNX16,FALSE,8,2,Inverse variance weighted,0.986,0.946,1.028,0.513,0.892,2,Inverse variance weighted,0.986,0.946,1.028,0.513,0.892,TRUE,ns in both,TRUE
USP36,FALSE,17,3,Inverse variance weighted,0.978,0.916,1.045,0.514,0.892,3,Inverse variance weighted,0.978,0.916,1.045,0.514,0.892,TRUE,ns in both,TRUE
DPP3,FALSE,11,2,Inverse variance weighted,0.955,0.83,1.098,0.515,0.892,2,Inverse variance weighted,0.955,0.83,1.098,0.515,0.892,TRUE,ns in both,TRUE
SLC7A11,FALSE,4,2,Inverse variance weighted,0.912,0.691,1.204,0.515,0.892,2,Inverse variance weighted,0.912,0.691,1.204,0.515,0.892,TRUE,ns in both,TRUE
MCM3AP,FALSE,21,3,Inverse variance weighted,1.016,0.969,1.064,0.516,0.892,3,Inverse variance weighted,1.016,0.969,1.064,0.516,0.892,TRUE,ns in both,TRUE
WDFY1,FALSE,2,2,Inverse variance weighted,1.033,0.937,1.138,0.516,0.892,2,Inverse variance weighted,1.033,0.937,1.138,0.516,0.892,TRUE,ns in both,TRUE
RPA1,FALSE,17,3,Inverse variance weighted,0.97,0.883,1.065,0.517,0.892,3,Inverse variance weighted,0.97,0.883,1.065,0.517,0.892,TRUE,ns in both,TRUE
ARHGAP17,FALSE,16,1,Wald ratio,1.066,0.877,1.297,0.52,0.892,1,Wald ratio,1.066,0.877,1.297,0.52,0.892,TRUE,ns in both,TRUE
COG2,FALSE,1,1,Wald ratio,0.942,0.785,1.13,0.52,0.892,1,Wald ratio,0.942,0.785,1.13,0.52,0.892,TRUE,ns in both,TRUE
CTBP1,FALSE,4,1,Wald ratio,0.899,0.65,1.243,0.52,0.892,1,Wald ratio,0.899,0.65,1.243,0.52,0.892,TRUE,ns in both,TRUE
DDX54,FALSE,12,1,Wald ratio,0.77,0.348,1.707,0.52,0.892,1,Wald ratio,0.77,0.348,1.707,0.52,0.892,TRUE,ns in both,TRUE
GOLGA3,FALSE,12,2,Inverse variance weighted,1.055,0.896,1.242,0.52,0.892,2,Inverse variance weighted,1.055,0.896,1.242,0.52,0.892,TRUE,ns in both,TRUE
KBTBD7,FALSE,13,1,Wald ratio,0.947,0.804,1.117,0.52,0.892,1,Wald ratio,0.947,0.804,1.117,0.52,0.892,TRUE,ns in both,TRUE
NOL6,FALSE,9,1,Wald ratio,1.042,0.919,1.181,0.52,0.892,1,Wald ratio,1.042,0.919,1.181,0.52,0.892,TRUE,ns in both,TRUE
PLA2G12A,FALSE,4,1,Wald ratio,0.959,0.843,1.09,0.52,0.892,1,Wald ratio,0.959,0.843,1.09,0.52,0.892,TRUE,ns in both,TRUE
RUVBL1,FALSE,3,1,Wald ratio,0.965,0.866,1.075,0.52,0.892,1,Wald ratio,0.965,0.866,1.075,0.52,0.892,TRUE,ns in both,TRUE
TBC1D15,FALSE,12,1,Wald ratio,1.035,0.933,1.148,0.52,0.892,1,Wald ratio,1.035,0.933,1.148,0.52,0.892,TRUE,ns in both,TRUE
WBP4,FALSE,13,1,Wald ratio,1.048,0.909,1.208,0.52,0.892,1,Wald ratio,1.048,0.909,1.208,0.52,0.892,TRUE,ns in both,TRUE
FTSJ3,FALSE,17,2,Inverse variance weighted,1.045,0.914,1.194,0.523,0.892,2,Inverse variance weighted,1.045,0.914,1.194,0.523,0.892,TRUE,ns in both,TRUE
SRGN,FALSE,10,2,Inverse variance weighted,1.025,0.95,1.106,0.523,0.892,2,Inverse variance weighted,1.025,0.95,1.106,0.523,0.892,TRUE,ns in both,TRUE
TMEM167B,FALSE,1,3,Inverse variance weighted,1.112,0.801,1.543,0.525,0.892,3,Inverse variance weighted,1.112,0.801,1.543,0.525,0.892,TRUE,ns in both,TRUE
GPR65,FALSE,14,2,Inverse variance weighted,0.978,0.913,1.047,0.526,0.892,2,Inverse variance weighted,0.978,0.913,1.047,0.526,0.892,TRUE,ns in both,TRUE
IQGAP2,FALSE,5,2,Inverse variance weighted,1.019,0.961,1.08,0.527,0.892,2,Inverse variance weighted,1.019,0.961,1.08,0.527,0.892,TRUE,ns in both,TRUE
AZIN1,FALSE,8,2,Inverse variance weighted,1.037,0.926,1.16,0.528,0.892,2,Inverse variance weighted,1.037,0.926,1.16,0.528,0.892,TRUE,ns in both,TRUE
URB1,FALSE,21,2,Inverse variance weighted,1.043,0.915,1.188,0.528,0.892,2,Inverse variance weighted,1.043,0.915,1.188,0.528,0.892,TRUE,ns in both,TRUE
LXN,FALSE,3,2,Inverse variance weighted,1.039,0.922,1.172,0.529,0.892,2,Inverse variance weighted,1.039,0.922,1.172,0.529,0.892,TRUE,ns in both,TRUE
ABHD14B,FALSE,3,1,Wald ratio,0.938,0.767,1.146,0.53,0.892,1,Wald ratio,0.938,0.767,1.146,0.53,0.892,TRUE,ns in both,TRUE
BMP8B,FALSE,1,1,Wald ratio,0.904,0.66,1.238,0.53,0.892,1,Wald ratio,0.904,0.66,1.238,0.53,0.892,TRUE,ns in both,TRUE
MTMR6,FALSE,13,1,Wald ratio,0.958,0.839,1.094,0.53,0.892,1,Wald ratio,0.958,0.839,1.094,0.53,0.892,TRUE,ns in both,TRUE
RAB18,FALSE,10,1,Wald ratio,0.94,0.776,1.139,0.53,0.892,1,Wald ratio,0.94,0.776,1.139,0.53,0.892,TRUE,ns in both,TRUE
RBM7,FALSE,11,1,Wald ratio,0.877,0.582,1.321,0.53,0.892,1,Wald ratio,0.877,0.582,1.321,0.53,0.892,TRUE,ns in both,TRUE
SLC25A42,FALSE,19,1,Wald ratio,0.897,0.64,1.258,0.53,0.892,1,Wald ratio,0.897,0.64,1.258,0.53,0.892,TRUE,ns in both,TRUE
SRRM1,FALSE,1,1,Wald ratio,0.886,0.607,1.293,0.53,0.892,1,Wald ratio,0.886,0.607,1.293,0.53,0.892,TRUE,ns in both,TRUE
ABI1,FALSE,10,3,Inverse variance weighted,0.895,0.633,1.265,0.531,0.892,3,Inverse variance weighted,0.895,0.633,1.265,0.531,0.892,TRUE,ns in both,TRUE
WDR81,FALSE,17,2,Inverse variance weighted,0.972,0.89,1.062,0.531,0.892,2,Inverse variance weighted,0.972,0.89,1.062,0.531,0.892,TRUE,ns in both,TRUE
ALCAM,FALSE,3,4,Inverse variance weighted,0.986,0.942,1.032,0.532,0.892,4,Inverse variance weighted,0.986,0.942,1.032,0.532,0.892,TRUE,ns in both,TRUE
SLC36A4,FALSE,11,3,Inverse variance weighted,1.103,0.81,1.502,0.534,0.892,3,Inverse variance weighted,1.103,0.81,1.502,0.534,0.892,TRUE,ns in both,TRUE
SFT2D1,FALSE,6,2,Inverse variance weighted,1.042,0.916,1.185,0.535,0.892,2,Inverse variance weighted,1.042,0.916,1.185,0.535,0.892,TRUE,ns in both,TRUE
CCR5,FALSE,3,2,Inverse variance weighted,0.947,0.798,1.124,0.536,0.892,2,Inverse variance weighted,0.947,0.798,1.124,0.536,0.892,TRUE,ns in both,TRUE
FIBP,FALSE,11,3,Inverse variance weighted,1.029,0.939,1.128,0.536,0.892,3,Inverse variance weighted,1.029,0.939,1.128,0.536,0.892,TRUE,ns in both,TRUE
SPOCK2,FALSE,10,3,Inverse variance weighted,0.957,0.832,1.1,0.536,0.892,3,Inverse variance weighted,0.957,0.832,1.1,0.536,0.892,TRUE,ns in both,TRUE
TANK,FALSE,2,2,Inverse variance weighted,1.063,0.875,1.292,0.536,0.892,2,Inverse variance weighted,1.063,0.875,1.292,0.536,0.892,TRUE,ns in both,TRUE
ABL1,FALSE,9,1,Wald ratio,1.244,0.618,2.505,0.54,0.892,1,Wald ratio,1.244,0.618,2.505,0.54,0.892,TRUE,ns in both,TRUE
ATP11B,FALSE,3,1,Wald ratio,1.058,0.884,1.265,0.54,0.892,1,Wald ratio,1.058,0.884,1.265,0.54,0.892,TRUE,ns in both,TRUE
CD46,FALSE,1,1,Wald ratio,0.914,0.685,1.219,0.54,0.892,1,Wald ratio,0.914,0.685,1.219,0.54,0.892,TRUE,ns in both,TRUE
DDX55,FALSE,12,1,Wald ratio,0.865,0.545,1.374,0.54,0.892,1,Wald ratio,0.865,0.545,1.374,0.54,0.892,TRUE,ns in both,TRUE
DPH2,FALSE,1,1,Wald ratio,1.124,0.774,1.632,0.54,0.892,1,Wald ratio,1.124,0.774,1.632,0.54,0.892,TRUE,ns in both,TRUE
EXOSC10,FALSE,1,1,Wald ratio,1.058,0.883,1.268,0.54,0.892,1,Wald ratio,1.058,0.883,1.268,0.54,0.892,TRUE,ns in both,TRUE
FBXO10,FALSE,9,1,Wald ratio,1.06,0.879,1.279,0.54,0.892,1,Wald ratio,1.06,0.879,1.279,0.54,0.892,TRUE,ns in both,TRUE
FBXW4P1,FALSE,22,1,Wald ratio,0.927,0.727,1.181,0.54,0.892,1,Wald ratio,0.927,0.727,1.181,0.54,0.892,TRUE,ns in both,TRUE
GIPC3,FALSE,19,1,Wald ratio,0.945,0.789,1.132,0.54,0.892,1,Wald ratio,0.945,0.789,1.132,0.54,0.892,TRUE,ns in both,TRUE
NEURL4,FALSE,17,1,Wald ratio,1.127,0.769,1.652,0.54,0.892,1,Wald ratio,1.127,0.769,1.652,0.54,0.892,TRUE,ns in both,TRUE
PACSIN1,FALSE,6,1,Wald ratio,0.92,0.705,1.2,0.54,0.892,1,Wald ratio,0.92,0.705,1.2,0.54,0.892,TRUE,ns in both,TRUE
POMZP3,FALSE,7,1,Wald ratio,0.895,0.628,1.276,0.54,0.892,1,Wald ratio,0.895,0.628,1.276,0.54,0.892,TRUE,ns in both,TRUE
PRR12,FALSE,19,1,Wald ratio,0.827,0.452,1.516,0.54,0.892,1,Wald ratio,0.827,0.452,1.516,0.54,0.892,TRUE,ns in both,TRUE
SEL1L,FALSE,14,1,Wald ratio,0.917,0.696,1.209,0.54,0.892,1,Wald ratio,0.917,0.696,1.209,0.54,0.892,TRUE,ns in both,TRUE
SRRM2,FALSE,16,1,Wald ratio,0.788,0.367,1.69,0.54,0.892,1,Wald ratio,0.788,0.367,1.69,0.54,0.892,TRUE,ns in both,TRUE
UQCRC1,FALSE,3,1,Wald ratio,1.08,0.845,1.381,0.54,0.892,1,Wald ratio,1.08,0.845,1.381,0.54,0.892,TRUE,ns in both,TRUE
VPS33B,FALSE,15,1,Wald ratio,1.037,0.922,1.167,0.54,0.892,1,Wald ratio,1.037,0.922,1.167,0.54,0.892,TRUE,ns in both,TRUE
NRG1,FALSE,8,2,Inverse variance weighted,0.981,0.924,1.042,0.541,0.892,2,Inverse variance weighted,0.981,0.924,1.042,0.541,0.892,TRUE,ns in both,TRUE
LARS2,FALSE,3,2,Inverse variance weighted,0.969,0.876,1.072,0.546,0.892,2,Inverse variance weighted,0.969,0.876,1.072,0.546,0.892,TRUE,ns in both,TRUE
BET1L,FALSE,11,3,Inverse variance weighted,1.058,0.881,1.272,0.547,0.892,3,Inverse variance weighted,1.058,0.881,1.272,0.547,0.892,TRUE,ns in both,TRUE
APOBEC3C,FALSE,22,2,Inverse variance weighted,1.041,0.913,1.188,0.548,0.892,2,Inverse variance weighted,1.041,0.913,1.188,0.548,0.892,TRUE,ns in both,TRUE
ICAM2,FALSE,17,2,Inverse variance weighted,1.091,0.821,1.45,0.548,0.892,2,Inverse variance weighted,1.091,0.821,1.45,0.548,0.892,TRUE,ns in both,TRUE
TAF1C,FALSE,16,4,Inverse variance weighted,1.028,0.94,1.124,0.548,0.892,4,Inverse variance weighted,1.028,0.94,1.124,0.548,0.892,TRUE,ns in both,TRUE
CAB39,FALSE,2,1,Wald ratio,0.964,0.856,1.086,0.55,0.892,1,Wald ratio,0.964,0.856,1.086,0.55,0.892,TRUE,ns in both,TRUE
OSBPL7,FALSE,17,1,Wald ratio,0.943,0.778,1.143,0.55,0.892,1,Wald ratio,0.943,0.778,1.143,0.55,0.892,TRUE,ns in both,TRUE
RPRD2,FALSE,1,1,Wald ratio,1.07,0.858,1.334,0.55,0.892,1,Wald ratio,1.07,0.858,1.334,0.55,0.892,TRUE,ns in both,TRUE
INTS1,FALSE,7,3,Inverse variance weighted,1.021,0.954,1.093,0.551,0.892,3,Inverse variance weighted,1.021,0.954,1.093,0.551,0.892,TRUE,ns in both,TRUE
MAN1A1,FALSE,6,2,Inverse variance weighted,0.969,0.871,1.077,0.556,0.892,2,Inverse variance weighted,0.969,0.871,1.077,0.556,0.892,TRUE,ns in both,TRUE
LCMT1,FALSE,16,2,Inverse variance weighted,0.944,0.779,1.144,0.557,0.892,2,Inverse variance weighted,0.944,0.779,1.144,0.557,0.892,TRUE,ns in both,TRUE
TCFL5,FALSE,20,2,Inverse variance weighted,1.05,0.892,1.235,0.558,0.892,2,Inverse variance weighted,1.05,0.892,1.235,0.558,0.892,TRUE,ns in both,TRUE
ARHGEF5,FALSE,7,1,Wald ratio,0.922,0.702,1.212,0.56,0.892,1,Wald ratio,0.922,0.702,1.212,0.56,0.892,TRUE,ns in both,TRUE
BLZF1,FALSE,1,1,Wald ratio,1.104,0.792,1.537,0.56,0.892,1,Wald ratio,1.104,0.792,1.537,0.56,0.892,TRUE,ns in both,TRUE
CCDC88C,FALSE,14,1,Wald ratio,1.079,0.835,1.395,0.56,0.892,1,Wald ratio,1.079,0.835,1.395,0.56,0.892,TRUE,ns in both,TRUE
COQ10B,FALSE,2,1,Wald ratio,1.071,0.85,1.351,0.56,0.892,1,Wald ratio,1.071,0.85,1.351,0.56,0.892,TRUE,ns in both,TRUE
GNB4,FALSE,3,1,Wald ratio,1.064,0.863,1.312,0.56,0.892,1,Wald ratio,1.064,0.863,1.312,0.56,0.892,TRUE,ns in both,TRUE
GOSR2,FALSE,17,1,Wald ratio,1.143,0.729,1.791,0.56,0.892,1,Wald ratio,1.143,0.729,1.791,0.56,0.892,TRUE,ns in both,TRUE
KIFC2,FALSE,8,1,Wald ratio,0.941,0.768,1.154,0.56,0.892,1,Wald ratio,0.941,0.768,1.154,0.56,0.892,TRUE,ns in both,TRUE
LMBRD1,FALSE,6,1,Wald ratio,0.927,0.717,1.197,0.56,0.892,1,Wald ratio,0.927,0.717,1.197,0.56,0.892,TRUE,ns in both,TRUE
PDGFC,FALSE,4,2,Inverse variance weighted,0.936,0.751,1.168,0.56,0.892,2,Inverse variance weighted,0.936,0.751,1.168,0.56,0.892,TRUE,ns in both,TRUE
STAM2,FALSE,2,1,Wald ratio,0.977,0.905,1.055,0.56,0.892,1,Wald ratio,0.977,0.905,1.055,0.56,0.892,TRUE,ns in both,TRUE
