gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
FOXK1,FALSE,7,1,Wald ratio,1.124,1.026,1.231,0.012,0.328,1,Wald ratio,1.124,1.026,1.231,0.012,0.446,TRUE,ns in both,TRUE
TUFM,FALSE,16,3,Inverse variance weighted,1.057,1.012,1.104,0.0125,0.336,3,Inverse variance weighted,1.057,1.012,1.104,0.0125,0.452,TRUE,ns in both,TRUE
PHF1,TRUE,6,2,Inverse variance weighted,3.87,1.329,11.272,0.0131,0.345,,,,,,,,FALSE,ns in both,
LRRC41,FALSE,1,1,Wald ratio,0.491,0.279,0.866,0.014,0.357,1,Wald ratio,0.491,0.279,0.866,0.014,0.494,TRUE,ns in both,TRUE
LTA,TRUE,6,2,Inverse variance weighted,0.464,0.252,0.856,0.014,0.357,,,,,,,,FALSE,ns in both,
COPS7B,FALSE,2,1,Wald ratio,1.897,1.132,3.177,0.015,0.375,1,Wald ratio,1.897,1.132,3.177,0.015,0.504,TRUE,ns in both,TRUE
CRTC3,FALSE,15,2,Inverse variance weighted,0.83,0.713,0.966,0.0159,0.375,2,Inverse variance weighted,0.83,0.713,0.966,0.0159,0.504,TRUE,ns in both,TRUE
CDK4,FALSE,12,1,Wald ratio,0.68,0.496,0.931,0.016,0.375,1,Wald ratio,0.68,0.496,0.931,0.016,0.504,TRUE,ns in both,TRUE
PMPCA,FALSE,9,1,Wald ratio,0.592,0.386,0.907,0.016,0.375,1,Wald ratio,0.592,0.386,0.907,0.016,0.504,TRUE,ns in both,TRUE
SMPDL3A,FALSE,6,1,Wald ratio,1.102,1.018,1.193,0.016,0.375,1,Wald ratio,1.102,1.018,1.193,0.016,0.504,TRUE,ns in both,TRUE
MRPS34,FALSE,16,1,Wald ratio,1.27,1.044,1.547,0.017,0.392,1,Wald ratio,1.27,1.044,1.547,0.017,0.513,TRUE,ns in both,TRUE
MAP2K5,FALSE,15,2,Inverse variance weighted,0.941,0.895,0.989,0.0177,0.396,2,Inverse variance weighted,0.941,0.895,0.989,0.0177,0.513,TRUE,ns in both,TRUE
POLRMT,FALSE,19,1,Wald ratio,1.809,1.107,2.957,0.018,0.396,1,Wald ratio,1.809,1.107,2.957,0.018,0.513,TRUE,ns in both,TRUE
TBL2,FALSE,7,1,Wald ratio,1.239,1.037,1.481,0.018,0.396,1,Wald ratio,1.239,1.037,1.481,0.018,0.513,TRUE,ns in both,TRUE
