gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
FMNL3,FALSE,12,2,Inverse variance weighted,0.962,0.869,1.065,0.456,0.888,2,Inverse variance weighted,0.962,0.869,1.065,0.456,0.892,TRUE,ns in both,TRUE
SCARB1,FALSE,12,3,Inverse variance weighted,1.03,0.952,1.115,0.457,0.888,3,Inverse variance weighted,1.03,0.952,1.115,0.457,0.892,TRUE,ns in both,TRUE
CXXC5,FALSE,5,1,Wald ratio,1.129,0.818,1.558,0.46,0.888,1,Wald ratio,1.129,0.818,1.558,0.46,0.892,TRUE,ns in both,TRUE
DHX37,FALSE,12,1,Wald ratio,0.848,0.548,1.312,0.46,0.888,1,Wald ratio,0.848,0.548,1.312,0.46,0.892,TRUE,ns in both,TRUE
ETV3,FALSE,1,1,Wald ratio,0.858,0.571,1.289,0.46,0.888,1,Wald ratio,0.858,0.571,1.289,0.46,0.892,TRUE,ns in both,TRUE
IL10RA,FALSE,11,1,Wald ratio,1.121,0.828,1.519,0.46,0.888,1,Wald ratio,1.121,0.828,1.519,0.46,0.892,TRUE,ns in both,TRUE
MFN1,FALSE,3,1,Wald ratio,1.067,0.898,1.267,0.46,0.888,1,Wald ratio,1.067,0.898,1.267,0.46,0.892,TRUE,ns in both,TRUE
PLD4,FALSE,14,1,Wald ratio,1.079,0.881,1.322,0.46,0.888,1,Wald ratio,1.079,0.881,1.322,0.46,0.892,TRUE,ns in both,TRUE
PZP,FALSE,12,1,Wald ratio,0.975,0.911,1.043,0.46,0.888,1,Wald ratio,0.975,0.911,1.043,0.46,0.892,TRUE,ns in both,TRUE
SLC35F5,FALSE,2,1,Wald ratio,1.214,0.726,2.029,0.46,0.888,1,Wald ratio,1.214,0.726,2.029,0.46,0.892,TRUE,ns in both,TRUE
TMX2,FALSE,11,1,Wald ratio,0.955,0.845,1.079,0.46,0.888,1,Wald ratio,0.955,0.845,1.079,0.46,0.892,TRUE,ns in both,TRUE
CARD8,FALSE,19,2,Inverse variance weighted,0.952,0.835,1.085,0.461,0.888,2,Inverse variance weighted,0.952,0.835,1.085,0.461,0.892,TRUE,ns in both,TRUE
SLC35A4,FALSE,5,2,Inverse variance weighted,1.034,0.945,1.131,0.462,0.888,2,Inverse variance weighted,1.034,0.945,1.131,0.462,0.892,TRUE,ns in both,TRUE
BCAT2,FALSE,19,2,Inverse variance weighted,0.925,0.752,1.139,0.465,0.888,2,Inverse variance weighted,0.925,0.752,1.139,0.465,0.892,TRUE,ns in both,TRUE
SPAG1,FALSE,8,2,Inverse variance weighted,1.045,0.929,1.175,0.466,0.888,2,Inverse variance weighted,1.045,0.929,1.175,0.466,0.892,TRUE,ns in both,TRUE
ASPH,FALSE,8,4,Inverse variance weighted,1.04,0.935,1.157,0.468,0.888,4,Inverse variance weighted,1.04,0.935,1.157,0.468,0.892,TRUE,ns in both,TRUE
DET1,FALSE,15,3,Inverse variance weighted,1.065,0.898,1.264,0.469,0.888,3,Inverse variance weighted,1.065,0.898,1.264,0.469,0.892,TRUE,ns in both,TRUE
