gene,module
DHDDS,brown
DHPS,brown
DHRS11,brown
DHRS3,brown
DHX30,brown
DHX33,brown
DHX37,brown
DHX38,brown
DHX40,yellow
DHX57,brown
DHX9,brown
DICER1,yellow
DIP2C,brown
DIS3L2,brown
DKFZP586I1420,brown
DLST,brown
DMAP1,brown
DMPK,brown
DMWD,brown
DMXL2,yellow
DNAH1,brown
DNAJB1,brown
DNAJB6,yellow
DNAJC11,brown
DNAJC17,brown
DNAJC30,brown
DNAJC7,brown
DNASE1,brown
DND1,brown
DNHD1,brown
DNM1,brown
DNMT1,brown
DNPEP,brown
DOC2A,brown
DOCK4,yellow
DOK2,brown
DOLK,brown
DOLPP1,brown
DOT1L,brown
DPAGT1,brown
DPH2,brown
DPH3,yellow
DPP3,brown
DPP7,brown
DPP9,brown
DPY19L3,yellow
DPYSL2,brown
DRAM1,yellow
DRG2,brown
DSC2,yellow
DSE,yellow
DSERG1,brown
DTNB,brown
DTX1,brown
DTX3,brown
DTYMK,brown
DUS1L,brown
DUS3L,brown
DUSP11,yellow
DUSP6,yellow
DVL1,brown
DVL2,brown
DYNC1H1,brown
DYNLL2,brown
DYNLRB1,brown
DYNLT1,yellow
DYX1C1,yellow
E2F3,yellow
EAPP,yellow
EBP,brown
ECHS1,brown
EDC3,brown
EDC4,brown
EDEM1,brown
EDEM3,yellow
EDF1,brown
EEF2,brown
EEFSEC,brown
EFHC2,yellow
EFNA3,brown
EFTUD2,brown
EGLN1,yellow
EHD4,brown
EHMT1,brown
EHMT2,brown
EI24,brown
EIF1AD,brown
EIF2B1,brown
EIF2B2,brown
EIF2B4,brown
EIF2B5,brown
EIF3B,brown
EIF3D,brown
EIF3G,brown
EIF3I,brown
EIF4A3,brown
EIF4E3,yellow
EIF4H,brown
EIF5A,brown
EIF5B,brown
EIF6,brown
ELAC2,brown
ELAVL1,brown
ELMO3,brown
ELMOD2,yellow
ELOVL5,yellow
ELP3,brown
ELP4,brown
EMD,brown
EME2,brown
EML2,brown
EML3,brown
EMP3,brown
ENDOG,brown
ENGASE,brown
ENO1,brown
ENO3,brown
ENTPD1,yellow
ENTPD5,brown
ENTPD6,brown
EP400,brown
EP400NL,brown
EPB41L2,brown
EPHA1,brown
EPHB6,brown
EPRS,brown
EPS8L2,brown
ERAL1,brown
ERAP2,brown
ERC1,brown
ERCC2,brown
ERCC3,brown
ERGIC2,yellow
ERGIC3,brown
ERI3,brown
ESD,brown
ESYT1,brown
ETF1,yellow
ETV3,yellow
EWSR1,brown
EXOC2,brown
EXOC6,yellow
EXOC7,brown
EXOC8,yellow
EXOSC10,brown
EXOSC5,brown
EXT2,brown
EYS,yellow
EZR,brown
F2,brown
F8,yellow
FAF1,brown
FAF2,brown
FAHD2A,brown
FAM105A,yellow
FAM109A,brown
FAM120A,yellow
FAM127A,brown
FAM127B,brown
FAM134C,brown
FAM151A,brown
FAM160B1,yellow
FAM160B2,brown
FAM161B,brown
FAM168B,brown
FAM174A,yellow
FAM181A,brown
FAM189B,brown
FAM198B,yellow
FAM199X,yellow
FAM19A2,yellow
FAM200B,yellow
FAM26F,yellow
FAM3A,brown
FAM45A,yellow
FAM49B,yellow
FAM50A,brown
FAM53B,brown
FAM57B,brown
FAM83G,brown
FAM83H,brown
FAM8A1,yellow
FAM91A1,yellow
FAM98C,brown
FANCE,brown
FANCG,brown
FAR1,yellow
FARP2,brown
FARS2,brown
FARSA,brown
FARSB,brown
FAS,yellow
FASN,brown
FASTK,brown
FBRSL1,brown
FBXL15,brown
FBXL19,brown
FBXL4,yellow
FBXL5,yellow
FBXO10,brown
FBXO21,brown
FBXO30,yellow
FBXO31,brown
FBXO34,yellow
FBXO38,yellow
FBXW4,brown
FBXW4P1,brown
FBXW5,brown
FBXW8,brown
FCGBP,brown
FCGR2B,yellow
FCHO2,yellow
FDFT1,brown
FDPS,brown
FDX1L,brown
FDXR,brown
FEM1C,yellow
FGD2,brown
FGFR1OP,yellow
FGL2,yellow
FH,brown
FIBP,brown
FIP1L1,brown
FIZ1,brown
FKBP2,brown
FKBP4,brown
FLAD1,brown
FLI1,yellow
FLNA,brown
FLNB,brown
FLVCR1,yellow
FLYWCH1,brown
FMN2,yellow
FMNL2,yellow
FMNL3,brown
FMO5,yellow
FMR1,yellow
FN3KRP,brown
FNBP1,brown
FNDC3A,yellow
FNIP2,brown
FOXH1,brown
FOXJ3,brown
FOXK1,brown
FOXP1,brown
FOXP3,brown
FOXP4,brown
FOXRED1,brown
FOXRED2,brown
FPGS,brown
FPGT,yellow
FRMD4B,yellow
FTO,brown
FTSJ3,brown
FUBP1,brown
FUK,brown
FUS,brown
FUT4,yellow
FXYD5,brown
FXYD7,brown
FYB,yellow
FYN,brown
G6PC3,brown
GAB1,yellow
GABARAPL2,yellow
GABBR1,brown
GABPB2,brown
GAL3ST2,brown
GALC,yellow
GALK2,brown
GALNT10,brown
GALNT3,yellow
GALNT6,brown
GALNT7,yellow
GALT,brown
GAMT,brown
GANAB,brown
GANC,brown
GAPT,yellow
GAR1,brown
GARS,brown
GCA,yellow
GCDH,brown
GDAP2,yellow
GDF11,brown
GDPD5,brown
GEMIN4,brown
GEMIN5,brown
GFOD1,brown
GGA1,brown
GGA2,brown
GHDC,brown
GIMAP8,brown
GIPC1,brown
GIPC2,yellow
GIPC3,brown
GK,yellow
GLG1,brown
GLUD2,yellow
GMCL1,yellow
GMFB,yellow
GMFG,yellow
GMPPA,brown
GNA13,yellow
GNAQ,yellow
GNB4,yellow
GNE,brown
GNG7,brown
GNL1,brown
GNL3L,brown
GOLGA3,brown
GOLGA5,yellow
GOLGA7,yellow
GON4L,brown
GORASP2,brown
GOSR2,brown
GOT1,brown
GOT2,brown
GPAA1,brown
GPATCH1,brown
GPATCH8,brown
GPD2,yellow
GPHB5,brown
GPI,brown
GPKOW,brown
GPM6B,brown
GPN2,brown
GPR155,yellow
GPR160,yellow
GPR34,yellow
GPR65,yellow
GPS1,brown
GPSM2,yellow
GRAMD1C,yellow
GRASP,brown
GRM2,brown
GRWD1,brown
GSDMB,brown
GSS,brown
GSTK1,brown
GSTP1,brown
GTF2B,yellow
GTF2H3,brown
GTF2I,brown
GTF3C1,brown
GTF3C2,brown
GTF3C5,brown
GTPBP3,brown
GTPBP6,brown
GUSB,brown
GUSBP1,brown
GYS1,brown
GZMM,brown
H1FX,brown
H2AFX,brown
HADHA,brown
HAGHL,brown
HAS3,brown
HAUS5,brown
HAUS7,brown
HBP1,yellow
HCFC1,brown
HCFC1R1,brown
HCST,brown
HDAC1,brown
HDAC6,brown
HDGFRP3,yellow
HDHD3,brown
HEATR1,brown
HEATR5A,yellow
HEATR6,brown
HECTD3,brown
