gene,module,GS_RA,kME_own,is_disease_module
MCHR2,grey,-0.119,0.139,FALSE
MCL1,red,0.131,0.533,FALSE
MCM10,grey,0.01,-0.071,FALSE
MCM2,blue,-0.194,0.431,FALSE
MCM3,brown,-0.4,0.752,TRUE
MCM3AP,brown,-0.575,0.801,TRUE
MCM4,pink,-0.149,0.484,FALSE
MCM5,brown,-0.316,0.494,TRUE
MCM6,brown,-0.224,0.472,TRUE
MCM7,brown,-0.368,0.671,TRUE
MCM8,turquoise,-0.037,0.337,FALSE
MCM9,yellow,0.115,0.305,TRUE
MCOLN1,black,-0.179,0.826,FALSE
MCOLN2,greenyellow,-0.144,0.594,FALSE
MCOLN3,grey,0.017,0.052,FALSE
MCPH1,turquoise,0.106,0.556,FALSE
MCRS1,blue,-0.328,0.636,FALSE
MCTP1,yellow,0.229,0.457,TRUE
MCTP2,red,0.086,0.697,FALSE
MCTS1,turquoise,0.427,0.661,FALSE
MDC1,green,-0.365,0.753,FALSE
MDFI,grey,-0.089,-0.045,FALSE
MDFIC,turquoise,0.306,0.905,FALSE
MDGA1,grey,-0.164,-0.104,FALSE
MDGA2,grey,0.044,0.392,FALSE
MDH1,turquoise,0.244,0.772,FALSE
MDH1B,grey,0.014,0.29,FALSE
MDH2,brown,-0.452,0.859,TRUE
MDK,blue,-0.086,0.346,FALSE
MDM1,turquoise,0.415,0.774,FALSE
MDM2,red,0.064,0.48,FALSE
MDM4,brown,-0.474,0.742,TRUE
MDN1,green,-0.281,0.774,FALSE
ME1,grey,-0.041,0.034,FALSE
ME2,red,0.143,0.553,FALSE
ME3,grey,-0.108,0.174,FALSE
MEA1,brown,-0.201,0.443,TRUE
MEAF6,green,-0.211,0.743,FALSE
MECOM,grey,0.031,0.303,FALSE
MECP2,blue,-0.316,0.758,FALSE
MECR,grey,-0.183,-0.242,FALSE
MED1,brown,-0.511,0.609,TRUE
MED10,turquoise,0.143,0.362,FALSE
MED11,red,0.187,0.579,FALSE
MED12,blue,-0.359,0.754,FALSE
MED12L,grey,0.001,-0.032,FALSE
MED13,turquoise,0.374,0.828,FALSE
MED13L,blue,-0.086,0.389,FALSE
MED14,turquoise,-0.093,0.363,FALSE
MED15,blue,-0.384,0.699,FALSE
MED16,blue,-0.397,0.668,FALSE
MED17,turquoise,0.24,0.491,FALSE
MED19,brown,-0.062,0.31,TRUE
MED20,turquoise,0.247,0.353,FALSE
MED22,blue,-0.223,0.54,FALSE
MED23,turquoise,0.419,0.87,FALSE
MED24,brown,-0.359,0.554,TRUE
MED25,blue,-0.271,0.759,FALSE
MED26,brown,-0.486,0.684,TRUE
MED27,brown,-0.225,0.574,TRUE
MED28,turquoise,0.485,0.607,FALSE
MED29,brown,-0.372,0.601,TRUE
MED30,yellow,0.536,0.777,TRUE
MED31,yellow,0.351,0.593,TRUE
MED4,turquoise,0.423,0.791,FALSE
MED6,grey,-0.187,-0.295,FALSE
MED7,turquoise,0.392,0.812,FALSE
MED8,blue,-0.123,0.659,FALSE
MED9,brown,-0.236,0.491,TRUE
MEF2A,yellow,0.295,0.594,TRUE
MEF2C,turquoise,0.094,0.44,FALSE
MEF2D,blue,-0.414,0.72,FALSE
MEFV,red,0.019,0.607,FALSE
MEGF10,grey,0.034,0.259,FALSE
MEGF11,grey,0.06,0.068,FALSE
MEGF6,blue,-0.099,0.397,FALSE
MEGF8,brown,-0.374,0.586,TRUE
MEGF9,red,0.341,0.885,FALSE
MEI1,green,-0.089,0.496,FALSE
MEIG1,grey,0.12,0.17,FALSE
MEIS1,magenta,-0.082,0.681,FALSE
MEIS2,grey,0.122,0.28,FALSE
MEIS3,grey,-0.04,-0.06,FALSE
MELK,grey,0.136,0.014,FALSE
MEN1,brown,-0.499,0.746,TRUE
MEOX1,grey,0.176,-0.094,FALSE
MEOX2,grey,0.113,0.164,FALSE
MEP1A,grey,0.055,0.021,FALSE
MEP1B,grey,0.068,0.222,FALSE
MEPCE,blue,-0.387,0.709,FALSE
MEPE,grey,-0.076,0.054,FALSE
MERTK,grey,0.16,0.049,FALSE
MESDC1,blue,-0.126,0.349,FALSE
MESDC2,green,-0.312,0.668,FALSE
MESP1,brown,-0.165,0.327,TRUE
MESP2,grey,-0.117,0.006,FALSE
MEST,grey,-0.093,0.071,FALSE
MET,grey,0.085,0.376,FALSE
METAP1,green,-0.171,0.582,FALSE
METAP2,turquoise,0.286,0.845,FALSE
METRN,green,-0.16,0.368,FALSE
METRNL,blue,0.163,0.564,FALSE
METTL1,grey,-0.215,-0.096,FALSE
METTL10,turquoise,0.308,0.845,FALSE
METTL13,brown,-0.312,0.555,TRUE
METTL14,turquoise,0.163,0.402,FALSE
METTL2B,brown,-0.314,0.635,TRUE
METTL3,green,-0.267,0.723,FALSE
METTL4,turquoise,0.434,0.633,FALSE
METTL5,turquoise,0.196,0.742,FALSE
METTL6,grey,0.132,-0.174,FALSE
METTL7A,purple,-0.055,0.408,FALSE
METTL7B,grey,0.17,0.034,FALSE
METTL8,turquoise,-0.104,0.562,FALSE
METTL9,yellow,0.217,0.373,TRUE
MEX3A,grey,-0.047,0.128,FALSE
MEX3B,turquoise,0.194,0.637,FALSE
MEX3C,turquoise,0.198,0.867,FALSE
MEX3D,grey,-0.07,-0.094,FALSE
MFAP1,blue,-0.172,0.441,FALSE
MFAP2,grey,-0.093,-0.064,FALSE
MFAP3,yellow,0.371,0.768,TRUE
MFAP3L,magenta,0.051,0.767,FALSE
MFAP4,grey,-0.001,0.031,FALSE
MFAP5,grey,-0.058,0.202,FALSE
MFF,turquoise,0.326,0.495,FALSE
MFGE8,brown,-0.357,0.471,TRUE
MFHAS1,brown,-0.31,0.617,TRUE
MFN1,yellow,0.455,0.843,TRUE
MFN2,blue,-0.264,0.684,FALSE
MFNG,brown,-0.417,0.688,TRUE
MFSD1,yellow,0.355,0.59,TRUE
MFSD10,blue,-0.244,0.526,FALSE
MFSD11,grey,-0.053,0.299,FALSE
MFSD2A,grey,-0.148,-0.108,FALSE
MFSD3,grey,-0.1,-0.129,FALSE
MFSD5,blue,-0.353,0.666,FALSE
MFSD6,turquoise,-0.002,0.401,FALSE
MFSD6L,blue,-0.049,0.532,FALSE
MFSD7,blue,-0.027,0.405,FALSE
MFSD8,turquoise,0.309,0.873,FALSE
MFSD9,grey,0.096,-0.14,FALSE
MGA,green,-0.25,0.598,FALSE
MGAM,red,0.133,0.839,FALSE
MGAT1,blue,-0.206,0.786,FALSE
MGAT2,turquoise,0.095,0.641,FALSE
MGAT3,grey,-0.151,-0.038,FALSE
MGAT4A,turquoise,0.304,0.909,FALSE
MGAT4B,blue,-0.142,0.343,FALSE
MGAT4C,grey,0.001,0.205,FALSE
MGAT5,grey,-0.245,0.145,FALSE
MGAT5B,grey,-0.096,0.33,FALSE
MGC24103,greenyellow,0.034,0.467,FALSE
MGC39584,grey,0.125,0.203,FALSE
MGC45922,grey,-0.154,0.008,FALSE
MGEA5,grey,0.171,0.135,FALSE
MGLL,magenta,-0.206,0.814,FALSE
MGMT,brown,-0.315,0.572,TRUE
MGP,grey,-0.15,0.023,FALSE
MGRN1,blue,-0.202,0.88,FALSE
MGST1,red,0.163,0.361,FALSE
MGST2,blue,-0.027,0.41,FALSE
MGST3,grey,0.036,-0.447,FALSE
MIA,brown,-0.286,0.372,TRUE
MIA2,grey,-0.07,0.294,FALSE
MIA3,blue,-0.002,0.374,FALSE
MIB1,blue,0.161,0.27,FALSE
MIB2,blue,-0.2,0.383,FALSE
MICA,grey,-0.136,-0.148,FALSE
MICAL1,blue,-0.309,0.694,FALSE
MICAL2,black,-0.286,0.833,FALSE
MICAL3,brown,-0.413,0.518,TRUE
MICALCL,black,-0.11,0.651,FALSE
MICALL1,blue,-0.284,0.544,FALSE
MICALL2,grey,0.012,-0.028,FALSE
MICB,pink,0.024,0.556,FALSE
MID1,grey,-0.085,0.012,FALSE
MID1IP1,blue,-0.186,0.69,FALSE
MID2,grey,-0.142,-0.052,FALSE
MIDN,blue,-0.223,0.875,FALSE
MIER1,yellow,0.54,0.888,TRUE
MIER2,blue,-0.208,0.336,FALSE
MIER3,turquoise,0.443,0.935,FALSE
MIF,green,-0.325,0.73,FALSE
MIF4GD,brown,-0.402,0.618,TRUE
MIIP,blue,-0.091,0.605,FALSE
MINA,turquoise,0.012,0.419,FALSE
MINK1,brown,-0.467,0.77,TRUE
MINPP1,turquoise,0.214,0.704,FALSE
MIOS,turquoise,0.17,0.688,FALSE
MIOX,grey,0.026,-0.072,FALSE
MIP,grey,-0.076,-0.029,FALSE
MIPEP,green,-0.265,0.521,FALSE
MIPOL1,grey,0.015,0.42,FALSE
MIR17HG,turquoise,0.263,0.687,FALSE
MIS12,turquoise,0.304,0.893,FALSE
MITD1,turquoise,0.294,0.806,FALSE
MITF,grey,-0.015,0.223,FALSE
MIXL1,grey,-0.096,-0.264,FALSE
MKI67,grey,-0.039,-0.109,FALSE
MKKS,turquoise,0.395,0.713,FALSE
MKL1,blue,-0.247,0.877,FALSE
MKL2,turquoise,0.172,0.778,FALSE
MKLN1,yellow,0.369,0.548,TRUE
MKNK1,red,0.108,0.66,FALSE
MKNK2,blue,-0.327,0.824,FALSE
MKRN1,black,-0.044,0.89,FALSE
MKRN2,turquoise,0.173,0.371,FALSE
MKRN3,turquoise,0.148,0.424,FALSE
MKS1,grey,-0.075,-0.105,FALSE
MKX,grey,0.018,0.156,FALSE
MLANA,grey,-0.162,-0.133,FALSE
MLC1,greenyellow,-0.028,0.521,FALSE
MLEC,brown,-0.409,0.749,TRUE
MLF1,turquoise,0.188,0.507,FALSE
MLF2,blue,0,0.651,FALSE
MLH1,grey,-0.116,-0.048,FALSE
MLH3,grey,0.095,0.223,FALSE
MLKL,blue,0.059,0.369,FALSE
MLLT1,blue,-0.173,0.795,FALSE
MLLT10,grey,0.049,-0.278,FALSE
MLLT11,turquoise,-0.031,0.342,FALSE
MLLT3,turquoise,0.139,0.585,FALSE
MLLT6,brown,-0.549,0.866,TRUE
MLN,grey,-0.045,0.094,FALSE
MLNR,grey,0.047,0.075,FALSE
MLPH,grey,0.104,0.154,FALSE
MLST8,brown,-0.14,0.458,TRUE
MLX,blue,-0.104,0.589,FALSE
MLXIP,blue,-0.44,0.686,FALSE
MLXIPL,blue,-0.048,0.321,FALSE
MLYCD,brown,-0.156,0.318,TRUE
MMAA,turquoise,0.122,0.342,FALSE
MMAB,green,-0.047,0.376,FALSE
MMACHC,grey,-0.199,-0.093,FALSE
MMADHC,yellow,0.569,0.768,TRUE
MMD,magenta,-0.065,0.68,FALSE
MMD2,grey,-0.063,-0.07,FALSE
MME,red,0.162,0.828,FALSE
MMEL1,grey,0.058,-0.108,FALSE
MMGT1,grey,0.019,-0.235,FALSE
MMP1,magenta,0.11,0.461,FALSE
MMP10,grey,-0.146,0.137,FALSE
MMP11,grey,-0.311,0.121,FALSE
MMP12,grey,0.08,0.202,FALSE
MMP13,grey,0.04,0.131,FALSE
MMP14,blue,-0.152,0.609,FALSE
MMP15,blue,-0.266,0.337,FALSE
MMP16,grey,0.043,0.32,FALSE
MMP17,brown,-0.214,0.352,TRUE
MMP19,brown,-0.442,0.688,TRUE
MMP2,grey,0.07,0.13,FALSE
MMP20,grey,0.019,0.158,FALSE
MMP21,grey,-0.019,0.009,FALSE
MMP24,blue,-0.174,0.492,FALSE
MMP25,red,0.117,0.711,FALSE
MMP26,grey,-0.229,0.203,FALSE
MMP27,grey,0.049,0.208,FALSE
MMP28,grey,-0.06,0.146,FALSE
MMP3,grey,0.048,0.316,FALSE
MMP7,grey,-0.148,-0.156,FALSE
MMP8,grey,0.145,0.11,FALSE
MMP9,red,0.195,0.772,FALSE
MMRN1,magenta,0.045,0.615,FALSE
MMRN2,grey,0.006,-0.017,FALSE
MMS19,brown,-0.565,0.802,TRUE
MN1,grey,-0.082,-0.049,FALSE
MNAT1,turquoise,0.1,0.593,FALSE
MND1,turquoise,0.167,0.437,FALSE
MNDA,red,0.136,0.743,FALSE
MNS1,grey,0.045,0.091,FALSE
MNT,blue,-0.383,0.829,FALSE
MNX1,grey,0.062,0.062,FALSE
MOAP1,green,-0.171,0.523,FALSE
MOB2,black,-0.266,0.643,FALSE
MOBP,grey,-0.035,0.143,FALSE
MOCOS,grey,0.188,0.253,FALSE
MOCS1,blue,0.12,0.392,FALSE
MOCS2,turquoise,0.282,0.781,FALSE
MOCS3,turquoise,0.278,0.388,FALSE
MOG,grey,0.068,-0.221,FALSE
MOGAT1,grey,-0.045,0.13,FALSE
MOGAT2,grey,-0.013,-0.03,FALSE
MOGAT3,grey,-0.011,0.112,FALSE
MOGS,brown,-0.403,0.721,TRUE
MON1A,brown,-0.398,0.58,TRUE
MON1B,grey,-0.007,-0.038,FALSE
MON2,turquoise,0.431,0.81,FALSE
MOP-1,grey,0.01,-0.002,FALSE
MORC1,grey,-0.091,0.388,FALSE
MORC2,brown,-0.347,0.575,TRUE
MORC3,yellow,0.479,0.845,TRUE
MORC4,turquoise,-0.025,0.367,FALSE
MORF4L1,turquoise,0.143,0.548,FALSE
MORF4L2,turquoise,0.225,0.861,FALSE
MORN1,blue,-0.092,0.326,FALSE
MORN2,turquoise,0.185,0.54,FALSE
MORN3,brown,-0.264,0.35,TRUE
MORN4,grey,0.134,-0.129,FALSE
MORN5,grey,-0.008,-0.005,FALSE
MOS,grey,-0.039,0.109,FALSE
MOSPD1,turquoise,0.424,0.677,FALSE
MOSPD2,yellow,0.442,0.781,TRUE
MOSPD3,blue,-0.068,0.438,FALSE
MOV10,pink,-0.174,0.749,FALSE
MOV10L1,grey,-0.076,0.025,FALSE
MOXD1,turquoise,0.002,0.355,FALSE
MPDU1,grey,0.042,-0.233,FALSE
MPDZ,grey,0.024,0.169,FALSE
MPEG1,blue,-0.168,0.319,FALSE
MPG,brown,-0.168,0.358,TRUE
MPHOSPH10,turquoise,0.041,0.472,FALSE
MPHOSPH6,turquoise,0.395,0.698,FALSE
MPHOSPH8,green,-0.269,0.602,FALSE
MPHOSPH9,turquoise,0.073,0.505,FALSE
MPI,brown,-0.318,0.584,TRUE
MPL,magenta,-0.285,0.848,FALSE
MPND,brown,-0.108,0.41,TRUE
MPO,blue,0.079,0.314,FALSE
MPP1,black,-0.177,0.922,FALSE
MPP2,grey,-0.084,0.179,FALSE
MPP3,grey,-0.066,-0.028,FALSE
MPP4,turquoise,0.182,0.339,FALSE
MPP5,turquoise,0.307,0.815,FALSE
MPP6,turquoise,-0.064,0.325,FALSE
MPP7,yellow,0.485,0.777,TRUE
MPPE1,blue,-0.08,0.562,FALSE
MPPED1,grey,0.042,0.037,FALSE
MPPED2,grey,-0.07,0.17,FALSE
MPRIP,brown,-0.442,0.667,TRUE
MPST,blue,-0.09,0.652,FALSE
MPV17,brown,-0.302,0.63,TRUE
MPV17L,grey,0.069,0.216,FALSE
MPV17L2,brown,-0.116,0.317,TRUE
MPZ,red,0.054,0.592,FALSE
MPZL1,blue,0.005,0.525,FALSE
MPZL2,yellow,0.383,0.641,TRUE
MPZL3,red,0.304,0.791,FALSE
MR1,pink,0.005,0.487,FALSE
MRAP,grey,-0.151,0.075,FALSE
MRAP2,grey,0.125,0.166,FALSE
MRAS,grey,0.167,-0.011,FALSE
MRC2,black,-0.202,0.789,FALSE
MRE11A,grey,-0.011,-0.392,FALSE
MREG,turquoise,0.037,0.555,FALSE
MRFAP1,grey,0.053,-0.312,FALSE
MRFAP1L1,turquoise,0.286,0.886,FALSE
MRGPRF,grey,0.03,0.026,FALSE
MRGPRX1,grey,0.104,0.024,FALSE
MRGPRX2,grey,0.003,0.217,FALSE
MRGPRX3,grey,0.048,0.157,FALSE
MRGPRX4,grey,0.013,0.024,FALSE
MRI1,green,-0.325,0.716,FALSE
MRM1,grey,-0.041,-0.11,FALSE
MRO,grey,0,0.36,FALSE
MRPL1,turquoise,0.424,0.881,FALSE
MRPL10,brown,-0.216,0.51,TRUE
MRPL11,turquoise,0.203,0.53,FALSE
MRPL12,brown,-0.133,0.318,TRUE
MRPL13,turquoise,0.439,0.842,FALSE
MRPL14,turquoise,0.179,0.391,FALSE
MRPL15,turquoise,0.409,0.74,FALSE
MRPL16,brown,-0.155,0.429,TRUE
MRPL17,turquoise,0.223,0.573,FALSE
MRPL18,turquoise,0.102,0.424,FALSE
MRPL19,grey,-0.175,-0.261,FALSE
MRPL2,brown,-0.138,0.44,TRUE
MRPL20,green,-0.213,0.753,FALSE
MRPL21,turquoise,0.281,0.449,FALSE
MRPL22,turquoise,0.429,0.73,FALSE
MRPL23,grey,-0.097,-0.512,FALSE
MRPL24,green,-0.12,0.545,FALSE
MRPL27,turquoise,0.234,0.431,FALSE
MRPL28,blue,-0.249,0.717,FALSE
MRPL3,turquoise,0.374,0.905,FALSE
MRPL30,grey,-0.063,0.208,FALSE
MRPL32,turquoise,0.415,0.922,FALSE
MRPL33,turquoise,0.216,0.58,FALSE
MRPL34,turquoise,0.132,0.546,FALSE
MRPL35,turquoise,0.094,0.692,FALSE
MRPL36,turquoise,0.114,0.555,FALSE
MRPL37,brown,-0.312,0.637,TRUE
MRPL38,brown,-0.357,0.661,TRUE
MRPL39,turquoise,0.25,0.772,FALSE
MRPL4,brown,-0.308,0.627,TRUE
MRPL40,turquoise,0.425,0.693,FALSE
MRPL41,brown,-0.189,0.471,TRUE
MRPL42,turquoise,0.438,0.766,FALSE
MRPL43,grey,0.054,-0.047,FALSE
MRPL44,red,0.287,0.582,FALSE
MRPL45,turquoise,0.113,0.491,FALSE
MRPL46,turquoise,0.108,0.666,FALSE
MRPL47,turquoise,0.467,0.803,FALSE
MRPL48,turquoise,0.296,0.715,FALSE
MRPL49,brown,-0.425,0.724,TRUE
MRPL50,turquoise,0.38,0.887,FALSE
MRPL51,turquoise,-0.083,0.339,FALSE
MRPL52,green,-0.133,0.543,FALSE
MRPL54,green,-0.166,0.325,FALSE
MRPL55,brown,-0.336,0.626,TRUE
MRPL9,green,-0.264,0.815,FALSE
MRPS10,grey,-0.108,-0.194,FALSE
MRPS11,brown,-0.22,0.318,TRUE
MRPS12,brown,-0.186,0.36,TRUE
MRPS14,turquoise,0.285,0.639,FALSE
MRPS15,grey,-0.02,-0.141,FALSE
MRPS16,grey,0.075,-0.194,FALSE
MRPS17,turquoise,-0.053,0.35,FALSE
MRPS18A,brown,-0.095,0.354,TRUE
MRPS18B,green,-0.297,0.752,FALSE
MRPS18C,turquoise,0.462,0.802,FALSE
MRPS2,brown,-0.36,0.739,TRUE
MRPS21,turquoise,0.021,0.551,FALSE
MRPS22,turquoise,0.29,0.757,FALSE
MRPS23,turquoise,0.315,0.739,FALSE
MRPS25,turquoise,-0.01,0.353,FALSE
MRPS26,green,-0.294,0.633,FALSE
MRPS27,green,-0.289,0.728,FALSE
MRPS28,turquoise,0.435,0.788,FALSE
MRPS30,turquoise,0.079,0.525,FALSE
MRPS31,turquoise,0.153,0.658,FALSE
MRPS33,turquoise,0.406,0.802,FALSE
MRPS34,brown,-0.3,0.554,TRUE
MRPS35,turquoise,0.16,0.727,FALSE
MRPS36,yellow,0.468,0.558,TRUE
MRPS5,green,-0.11,0.473,FALSE
MRPS6,brown,-0.194,0.416,TRUE
MRPS7,grey,0.013,-0.144,FALSE
MRPS9,green,-0.152,0.589,FALSE
MRRF,green,-0.157,0.439,FALSE
MRS2,turquoise,0.212,0.727,FALSE
MRTO4,grey,-0.074,-0.148,FALSE
MRVI1,red,0.054,0.808,FALSE
MS4A1,purple,-0.09,0.858,FALSE
MS4A12,grey,0.003,0.058,FALSE
MS4A14,grey,0.259,-0.019,FALSE
MS4A15,grey,-0.083,-0.032,FALSE
MS4A2,grey,0.228,0.252,FALSE
MS4A3,yellow,0.412,0.54,TRUE
MS4A4A,yellow,0.467,0.473,TRUE
MS4A5,grey,0.155,0.313,FALSE
MS4A6A,yellow,0.441,0.606,TRUE
MS4A6E,grey,0.197,0.176,FALSE
MS4A7,turquoise,0.382,0.502,FALSE
MSC,greenyellow,-0.107,0.429,FALSE
MSH2,turquoise,0.294,0.797,FALSE
MSH3,grey,-0.023,-0.161,FALSE
MSH4,grey,0.13,0.255,FALSE
MSH6,grey,-0.19,-0.167,FALSE
MSI1,grey,-0.011,0.111,FALSE
MSI2,grey,-0.13,-0.119,FALSE
MSL1,red,0.242,0.833,FALSE
MSL2,grey,-0.047,0.028,FALSE
MSL3,yellow,0.439,0.627,TRUE
MSLN,grey,-0.032,-0.186,FALSE
MSMB,grey,-0.035,0.096,FALSE
MSN,blue,-0.435,0.768,FALSE
MSR1,grey,0.201,0.108,FALSE
MSRA,blue,-0.046,0.744,FALSE
MSRB2,blue,0.253,0.55,FALSE
MSRB3,blue,0.122,0.321,FALSE
MST1,grey,-0.008,-0.003,FALSE
MST1R,grey,-0.18,-0.032,FALSE
MSTN,grey,0.038,0.264,FALSE
MSTO1,brown,-0.464,0.722,TRUE
MSX1,grey,-0.003,0.303,FALSE
MSX2,grey,-0.051,0.013,FALSE
MT1E,pink,0.227,0.446,FALSE
MT1F,pink,-0.063,0.375,FALSE
MT1G,pink,0.155,0.519,FALSE
MT1H,pink,0.125,0.382,FALSE
MT1M,grey,0.12,-0.066,FALSE
MT1X,pink,0.073,0.539,FALSE
MT2A,pink,0.004,0.73,FALSE
MT3,blue,0.015,0.312,FALSE
MT4,blue,0.003,0.462,FALSE
MTA1,green,-0.334,0.638,FALSE
MTA2,brown,-0.234,0.56,TRUE
MTA3,green,-0.208,0.532,FALSE
MTAP,turquoise,0.064,0.468,FALSE
MTBP,turquoise,-0.016,0.335,FALSE
MTCH1,brown,-0.21,0.385,TRUE
MTCH2,brown,-0.311,0.701,TRUE
MTCP1,turquoise,0.13,0.561,FALSE
MTDH,brown,-0.353,0.607,TRUE
MTF1,blue,-0.099,0.709,FALSE
MTF2,turquoise,0.268,0.71,FALSE
MTFMT,yellow,0.34,0.552,TRUE
MTFR1,turquoise,0.337,0.749,FALSE
MTG1,brown,-0.194,0.37,TRUE
MTHFD1,brown,-0.468,0.693,TRUE
MTHFD1L,grey,-0.128,-0.271,FALSE
MTHFD2,turquoise,0.481,0.708,FALSE
MTHFD2L,turquoise,0.334,0.726,FALSE
MTHFR,brown,-0.36,0.614,TRUE
MTHFSD,grey,-0.17,-0.149,FALSE
MTIF2,turquoise,0.031,0.479,FALSE
MTIF3,turquoise,0.338,0.639,FALSE
MTM1,yellow,0.453,0.69,TRUE
MTMR1,green,-0.293,0.547,FALSE
MTMR10,yellow,0.398,0.806,TRUE
MTMR11,grey,0.067,-0.089,FALSE
MTMR12,turquoise,-0.087,0.31,FALSE
MTMR14,blue,-0.3,0.864,FALSE
MTMR2,turquoise,0.052,0.673,FALSE
MTMR3,blue,-0.144,0.872,FALSE
MTMR4,blue,-0.188,0.362,FALSE
MTMR6,yellow,0.52,0.936,TRUE
MTMR7,turquoise,0.307,0.489,FALSE
MTMR9,turquoise,0.247,0.565,FALSE
MTNR1A,grey,0.057,0.155,FALSE
MTNR1B,grey,-0.176,-0.213,FALSE
MTO1,turquoise,0.148,0.774,FALSE
MTOR,brown,-0.281,0.541,TRUE
MTPAP,green,-0.209,0.402,FALSE
MTR,turquoise,-0.044,0.584,FALSE
MTRF1,turquoise,0.295,0.589,FALSE
MTRF1L,grey,0.067,0.001,FALSE
MTRR,turquoise,0.194,0.782,FALSE
MTSS1,turquoise,0.029,0.391,FALSE
MTSS1L,grey,0,0.015,FALSE
MTTP,grey,-0.003,0.231,FALSE
MTUS1,turquoise,0.08,0.558,FALSE
MTUS2,grey,-0.056,-0.043,FALSE
MTX1,red,0.093,0.777,FALSE
MTX2,turquoise,0.446,0.853,FALSE
MTX3,turquoise,0.185,0.891,FALSE
MUC1,grey,-0.092,0.017,FALSE
MUC12,grey,-0.151,-0.079,FALSE
MUC13,grey,-0.107,-0.126,FALSE
MUC15,grey,0.123,0.119,FALSE
MUC16,grey,0.04,0.019,FALSE
MUC17,grey,0.052,0.128,FALSE
MUC2,grey,-0.06,0.004,FALSE
MUC20,brown,-0.193,0.366,TRUE
MUC4,blue,-0.05,0.304,FALSE
MUC5B,blue,0.1,0.498,FALSE
MUC6,blue,0.026,0.327,FALSE
MUC7,grey,0.001,-0.03,FALSE
MUCL1,grey,-0.112,0.241,FALSE
MUL1,blue,-0.261,0.808,FALSE
MUM1,brown,-0.25,0.521,TRUE
MUM1L1,grey,0.064,0.119,FALSE
MURC,grey,0.055,0.06,FALSE
MUS81,brown,-0.373,0.509,TRUE
MUSK,grey,0.026,-0.083,FALSE
MUT,turquoise,0.468,0.633,FALSE
MUTYH,brown,-0.33,0.409,TRUE
MVD,brown,-0.355,0.456,TRUE
MVK,grey,0.039,0.198,FALSE
MVP,blue,-0.123,0.779,FALSE
MX1,pink,-0.015,0.823,FALSE
MX2,pink,-0.034,0.733,FALSE
MXD1,red,0.191,0.848,FALSE
MXD3,red,0.243,0.75,FALSE
MXI1,black,-0.193,0.906,FALSE
MXRA5,grey,0.007,0.23,FALSE
MXRA7,greenyellow,0.025,0.416,FALSE
MXRA8,blue,-0.281,0.438,FALSE
MYADM,blue,-0.19,0.689,FALSE
MYADML2,grey,-0.076,-0.19,FALSE
MYB,turquoise,0.323,0.47,FALSE
MYBBP1A,brown,-0.45,0.772,TRUE
MYBL1,turquoise,0.225,0.772,FALSE
MYBL2,grey,-0.147,-0.287,FALSE
MYBPC1,grey,0.148,0.091,FALSE
MYBPC2,grey,-0.144,-0.038,FALSE
MYBPC3,blue,0.042,0.429,FALSE
MYBPH,grey,-0.116,-0.043,FALSE
MYC,green,-0.18,0.639,FALSE
MYCBP2,brown,-0.56,0.818,TRUE
MYCBPAP,grey,-0.138,-0.102,FALSE
MYCN,grey,-0.101,0.241,FALSE
MYCT1,tan,0.03,0.497,FALSE
MYD88,blue,-0.083,0.727,FALSE
MYEF2,grey,-0.127,-0.035,FALSE
MYEOV,blue,-0.189,0.44,FALSE
MYF5,grey,0.164,0.051,FALSE
MYF6,grey,0.018,0.439,FALSE
MYH1,grey,0.019,0.072,FALSE
MYH10,yellow,0.282,0.363,TRUE
MYH11,blue,-0.019,0.321,FALSE
MYH13,grey,-0.295,-0.094,FALSE
MYH14,grey,-0.162,0.035,FALSE
MYH15,grey,0.103,0.135,FALSE
MYH2,grey,-0.06,-0.105,FALSE
MYH3,brown,-0.218,0.411,TRUE
MYH4,grey,0.053,0.034,FALSE
MYH6,grey,0.064,0.122,FALSE
MYH7,grey,-0.042,-0.056,FALSE
MYH7B,grey,0.046,-0.005,FALSE
MYH8,grey,0.032,-0.002,FALSE
MYH9,blue,-0.441,0.829,FALSE
MYL1,grey,0.092,0.039,FALSE
MYL10,blue,-0.127,0.353,FALSE
MYL12A,grey,0.124,-0.207,FALSE
MYL12B,yellow,0.483,0.647,TRUE
MYL2,grey,-0.102,-0.115,FALSE
MYL3,blue,-0.262,0.253,FALSE
MYL4,black,-0.219,0.84,FALSE
MYL5,grey,-0.008,-0.052,FALSE
MYL6,turquoise,0.495,0.588,FALSE
MYL6B,grey,0.073,-0.246,FALSE
MYL7,grey,-0.058,-0.04,FALSE
MYL9,magenta,-0.1,0.869,FALSE
MYLIP,grey,0.055,0.142,FALSE
MYLK,magenta,-0.159,0.899,FALSE
MYLK2,grey,0.005,0.212,FALSE
MYLK3,grey,-0.091,0.232,FALSE
MYLK4,grey,0.047,0.167,FALSE
MYLPF,grey,0.087,0.043,FALSE
MYNN,turquoise,0.488,0.832,FALSE
MYO10,blue,-0.003,0.289,FALSE
MYO15A,grey,0.029,-0.201,FALSE
MYO16,blue,-0.074,0.296,FALSE
MYO18B,grey,0.009,0.075,FALSE
MYO19,grey,-0.139,-0.075,FALSE
MYO1A,grey,-0.054,0.028,FALSE
MYO1B,turquoise,0.247,0.337,FALSE
MYO1C,blue,-0.352,0.599,FALSE
