gene,module,GS_RA,kME_own,is_disease_module
SLC1A1,grey,0.053,0.035,FALSE
SLC1A2,grey,-0.294,0.167,FALSE
SLC1A3,grey,0.117,0.111,FALSE
SLC1A4,brown,-0.205,0.436,TRUE
SLC1A5,black,-0.205,0.839,FALSE
SLC1A6,grey,0.085,0.216,FALSE
SLC1A7,grey,0.025,0.045,FALSE
SLC20A1,greenyellow,-0.156,0.65,FALSE
SLC20A2,brown,-0.259,0.341,TRUE
SLC22A1,red,0.092,0.582,FALSE
SLC22A11,grey,0.005,0.285,FALSE
SLC22A12,grey,-0.129,0.044,FALSE
SLC22A13,grey,-0.064,-0.016,FALSE
SLC22A14,grey,0.084,0.255,FALSE
SLC22A15,yellow,0.452,0.74,TRUE
SLC22A16,grey,0.146,0.073,FALSE
SLC22A17,brown,-0.164,0.47,TRUE
SLC22A18,blue,-0.182,0.611,FALSE
SLC22A18AS,blue,-0.031,0.391,FALSE
SLC22A2,grey,0.03,0.257,FALSE
SLC22A23,grey,-0.028,-0.072,FALSE
SLC22A24,grey,0.047,0.15,FALSE
SLC22A25,grey,-0.137,0.56,FALSE
SLC22A3,blue,-0.193,0.325,FALSE
SLC22A4,red,0.322,0.796,FALSE
SLC22A5,grey,-0.142,0.009,FALSE
SLC22A6,blue,-0.153,0.367,FALSE
SLC22A7,grey,0.013,0.033,FALSE
SLC22A8,blue,0.109,0.348,FALSE
SLC22A9,grey,-0.076,0.156,FALSE
SLC23A1,grey,-0.016,-0.012,FALSE
SLC23A2,yellow,0.085,0.316,TRUE
SLC23A3,grey,-0.007,-0.011,FALSE
SLC24A1,grey,-0.224,-0.293,FALSE
SLC24A2,grey,-0.077,0.114,FALSE
SLC24A3,magenta,-0.096,0.71,FALSE
SLC24A4,blue,-0.005,0.452,FALSE
SLC25A1,blue,-0.305,0.603,FALSE
SLC25A10,grey,-0.103,0.089,FALSE
SLC25A11,blue,-0.244,0.732,FALSE
SLC25A12,turquoise,0.151,0.518,FALSE
SLC25A13,brown,-0.264,0.401,TRUE
SLC25A14,yellow,0.214,0.474,TRUE
SLC25A15,turquoise,-0.078,0.323,FALSE
SLC25A16,grey,-0.024,0.315,FALSE
SLC25A17,turquoise,0.016,0.504,FALSE
SLC25A18,grey,-0.013,-0.02,FALSE
SLC25A19,brown,-0.22,0.37,TRUE
SLC25A2,grey,0.022,0.039,FALSE
SLC25A20,grey,0.089,0.018,FALSE
SLC25A21,grey,-0.037,0.236,FALSE
SLC25A22,brown,-0.431,0.728,TRUE
SLC25A23,brown,-0.423,0.693,TRUE
SLC25A24,turquoise,0.461,0.781,FALSE
