sex,module,cor_ME_RA,direction,consistent,gene,logFC,DEG_FDR,kME
Male,yellow,0.556,up in RA,TRUE,CDC5L,0.216043099438923,0.00312251726246913,0.487
Male,yellow,0.556,up in RA,TRUE,CDK5R1,0.511832894257709,0.00388122985234482,0.637
Male,yellow,0.556,up in RA,TRUE,CDKN2B,0.42773494299447,0.0204016521035491,0.461
Male,yellow,0.556,up in RA,TRUE,CEP97,0.534945062360333,0.000394787910871829,0.516
Male,yellow,0.556,up in RA,TRUE,CHD1,0.31447123589757,3.87095656756476e-05,0.677
Male,yellow,0.556,up in RA,TRUE,CHMP1B,0.280101915878696,0.000879854030316307,0.784
Male,yellow,0.556,up in RA,TRUE,CHMP2B,0.541732250041353,2.92438162222501e-06,0.676
Male,yellow,0.556,up in RA,TRUE,CHMP5,0.989603087397852,1.68745793023821e-07,0.831
Male,yellow,0.556,up in RA,TRUE,CHUK,0.690942296398915,1.73413082345998e-06,0.917
Male,yellow,0.556,up in RA,TRUE,CKLF,0.556721828901629,4.78117541834206e-06,0.751
Male,yellow,0.556,up in RA,TRUE,CLEC4A,0.341061908606104,0.000249356464371506,0.703
Male,yellow,0.556,up in RA,TRUE,CLEC4D,1.35353738017841,1.01368537175892e-06,0.807
Male,yellow,0.556,up in RA,TRUE,CLEC7A,0.158733315202204,0.0268172120473115,0.581
Male,yellow,0.556,up in RA,TRUE,CLIC2,0.240660974911941,0.0396960333050526,0.406
Male,yellow,0.556,up in RA,TRUE,CLIP1,0.190110372474765,0.00795791577270379,0.582
Male,yellow,0.556,up in RA,TRUE,CLK4,0.926688436858484,3.21405233238551e-06,0.842
Male,yellow,0.556,up in RA,TRUE,CLVS1,0.514582414915547,0.00576872886308909,0.531
Male,yellow,0.556,up in RA,TRUE,CNIH4,0.863249076085499,2.95358388347307e-07,0.803
Male,yellow,0.556,up in RA,TRUE,CNR1,0.436346421375973,0.0091165776340732,0.345
Male,yellow,0.556,up in RA,TRUE,COL4A3BP,0.26853988464701,0.00252611998187837,0.517
Male,yellow,0.556,up in RA,TRUE,COMMD2,0.293085086380069,0.00943772259009302,0.771
Male,yellow,0.556,up in RA,TRUE,COQ10B,0.294237235630658,1.16495777957881e-05,0.835
Male,yellow,0.556,up in RA,TRUE,COQ2,0.491208371868894,9.54762525563296e-05,0.667
Male,yellow,0.556,up in RA,TRUE,CPD,0.480100114719679,0.000154155382492133,0.774
Male,yellow,0.556,up in RA,TRUE,CPEB2,1.1244303274448,2.00419013622516e-07,0.918
Male,yellow,0.556,up in RA,TRUE,CPEB3,0.28028253533798,0.00665321567557949,0.392
Male,yellow,0.556,up in RA,TRUE,CPEB4,0.709642738976008,4.82456700006716e-06,0.939
Male,yellow,0.556,up in RA,TRUE,CPNE8,0.685191159554569,0.00015739871495975,0.803
Male,yellow,0.556,up in RA,TRUE,CRADD,0.180178651292646,0.0347559755012195,0.57
Male,yellow,0.556,up in RA,TRUE,CREB1,0.272584769733685,0.000295730714774991,0.8
Male,yellow,0.556,up in RA,TRUE,CRIPT,0.347169860752652,0.00181328423576334,0.449
Male,yellow,0.556,up in RA,TRUE,CSGALNACT1,0.496323444316352,0.00739923182707975,0.603
Male,yellow,0.556,up in RA,TRUE,CSGALNACT2,0.705711058292429,6.66596259616618e-06,0.893
Male,yellow,0.556,up in RA,TRUE,CUL3,0.131048737724269,0.038471017714504,0.62
Male,yellow,0.556,up in RA,TRUE,CUL4B,0.217535334259717,7.82117366308426e-05,0.686
Male,yellow,0.556,up in RA,TRUE,CUTC,0.274461458949205,0.00263968550440187,0.574
Male,yellow,0.556,up in RA,TRUE,CXCL6,0.637932561099165,0.00307101683249319,0.594
Male,yellow,0.556,up in RA,TRUE,CXorf23,0.795759504397571,2.09042282794333e-06,0.884
Male,yellow,0.556,up in RA,TRUE,CYB5R4,0.409037104821472,3.88492855927793e-05,0.828
Male,yellow,0.556,up in RA,TRUE,CYP1B1,0.470322311176095,0.0196056020435356,0.493
Male,yellow,0.556,up in RA,TRUE,CYYR1,0.233444206316332,0.0323963229291233,0.332
Male,yellow,0.556,up in RA,TRUE,DACH1,0.697139134365425,0.000141546251969249,0.51
Male,yellow,0.556,up in RA,TRUE,DCP2,0.48069768180325,4.41705458128891e-06,0.881
Male,yellow,0.556,up in RA,TRUE,DCTN4,0.236838420481723,0.00102569323853496,0.794
Male,yellow,0.556,up in RA,TRUE,DCUN1D1,0.377249441565253,0.000139603658736736,0.777
Male,yellow,0.556,up in RA,TRUE,DEGS1,0.164407587574397,0.0347460854753161,0.658
Male,yellow,0.556,up in RA,TRUE,DICER1,0.210191929573854,0.0266823959854779,0.318
Male,yellow,0.556,up in RA,TRUE,DMXL2,0.453952323623581,0.000230179155349251,0.844
Male,yellow,0.556,up in RA,TRUE,DNAJB6,0.177035097055747,0.00981917971162864,0.383
Male,yellow,0.556,up in RA,TRUE,DOCK4,0.898544899460963,0.000795173083869356,0.671
Male,yellow,0.556,up in RA,TRUE,DPH3,0.512962979869333,8.31906837956111e-06,0.775
Male,yellow,0.556,up in RA,TRUE,DPY19L3,0.574585150656078,0.000736746672577669,0.689
Male,yellow,0.556,up in RA,TRUE,DRAM1,0.29597050770396,0.02443696167102,0.62
Male,yellow,0.556,up in RA,TRUE,DSC2,0.926094001089325,0.00253235815897202,0.626
Male,yellow,0.556,up in RA,TRUE,DSE,0.474604011391249,0.0002777996839266,0.749
Male,yellow,0.556,up in RA,TRUE,DUSP11,0.289412586643899,3.91740177089074e-06,0.768
Male,yellow,0.556,up in RA,TRUE,DYX1C1,0.333090315183016,0.0199313728067929,0.405
Male,yellow,0.556,up in RA,TRUE,E2F3,0.198268098589443,0.00890977848607374,0.563
Male,yellow,0.556,up in RA,TRUE,EAPP,0.334899468687289,9.8182191112525e-05,0.626
Male,yellow,0.556,up in RA,TRUE,EDEM3,0.781207080213834,2.52986303113015e-07,0.782
Male,yellow,0.556,up in RA,TRUE,EFHC2,0.571576764620819,0.00972631426007328,0.533
Male,yellow,0.556,up in RA,TRUE,EGLN1,0.288407587822691,0.000730547000634666,0.816
Male,yellow,0.556,up in RA,TRUE,EIF4E3,0.262150407258713,0.00511532302836411,0.545
Male,yellow,0.556,up in RA,TRUE,ELMOD2,0.738348036335368,1.55714221708654e-06,0.874
Male,yellow,0.556,up in RA,TRUE,ELOVL5,0.240983775527198,0.000147498493029704,0.808
Male,yellow,0.556,up in RA,TRUE,ENTPD1,0.253125118242106,0.0117880813015498,0.695
Male,yellow,0.556,up in RA,TRUE,ERGIC2,0.611090117918304,6.85626282325078e-07,0.777
Male,yellow,0.556,up in RA,TRUE,ETV3,0.194540072162864,0.0232236842136994,0.486
Male,yellow,0.556,up in RA,TRUE,EXOC6,0.575961707402236,1.45839925107371e-05,0.881
Male,yellow,0.556,up in RA,TRUE,EXOC8,0.803949793574671,3.62215943277423e-07,0.933
Male,yellow,0.556,up in RA,TRUE,F8,0.335725836663947,0.0107504405037342,0.428
Male,yellow,0.556,up in RA,TRUE,FAM105A,0.47613450188564,5.3128608062676e-05,0.8
Male,yellow,0.556,up in RA,TRUE,FAM120A,0.151543223666823,0.0133820617256395,0.495
Male,yellow,0.556,up in RA,TRUE,FAM160B1,0.713448429516772,1.73101575747566e-07,0.923
Male,yellow,0.556,up in RA,TRUE,FAM174A,0.643992752602902,4.61827157736111e-05,0.701
Male,yellow,0.556,up in RA,TRUE,FAM198B,0.416142594468038,0.0174265404383191,0.647
Male,yellow,0.556,up in RA,TRUE,FAM199X,0.204749606436375,0.0184371685004304,0.646
Male,yellow,0.556,up in RA,TRUE,FAM200B,0.16522499786302,0.0189363527069218,0.549
Male,yellow,0.556,up in RA,TRUE,FAM45A,0.334581596630275,0.000876590576658697,0.545
Male,yellow,0.556,up in RA,TRUE,FAM49B,0.205881627339475,0.000956393496572474,0.819
Male,yellow,0.556,up in RA,TRUE,FAM8A1,0.614267133065716,1.37512729285735e-06,0.857
Male,yellow,0.556,up in RA,TRUE,FAM91A1,0.666167434793529,6.04796403658513e-08,0.912
Male,yellow,0.556,up in RA,TRUE,FAR1,0.69710052634125,2.93434510802894e-06,0.951
Male,yellow,0.556,up in RA,TRUE,FAS,0.956414365421816,2.93434510802894e-06,0.871
Male,yellow,0.556,up in RA,TRUE,FBXL4,0.347919411092844,0.00175758061982102,0.571
Male,yellow,0.556,up in RA,TRUE,FBXL5,0.221889273350323,0.000108158217794917,0.838
Male,yellow,0.556,up in RA,TRUE,FBXO30,0.615733090364053,1.57863090661635e-05,0.849
Male,yellow,0.556,up in RA,TRUE,FBXO34,0.172068506985899,0.0357839032564641,0.489
Male,yellow,0.556,up in RA,TRUE,FBXO38,0.231464710191306,0.0127036809638574,0.6
Male,yellow,0.556,up in RA,TRUE,FCHO2,0.982958851979645,3.91167288438907e-07,0.91
Male,yellow,0.556,up in RA,TRUE,FEM1C,0.475752755685188,0.000214497528119956,0.73
Male,yellow,0.556,up in RA,TRUE,FGFR1OP,0.425691136429365,0.00173832933535602,0.454
Male,yellow,0.556,up in RA,TRUE,FGL2,0.281143567557594,0.0049304305403655,0.764
Male,yellow,0.556,up in RA,TRUE,FMR1,0.724914073136732,1.33746723469345e-07,0.891
Male,yellow,0.556,up in RA,TRUE,FNDC3A,0.696451861035442,1.68745793023821e-07,0.844
Male,yellow,0.556,up in RA,TRUE,FPGT,1.06303671489944,2.9346808978753e-07,0.837
Male,yellow,0.556,up in RA,TRUE,FRMD4B,0.407010584337146,0.0128981429131759,0.568
Male,yellow,0.556,up in RA,TRUE,FUT4,0.382641245997731,0.000469438402955046,0.414
Male,yellow,0.556,up in RA,TRUE,FYB,0.124053674160008,0.0256950624771129,0.751
Male,yellow,0.556,up in RA,TRUE,GAB1,0.578428384718296,0.00112093920675895,0.807
Male,yellow,0.556,up in RA,TRUE,GALC,0.390198172013416,0.000507360483330218,0.801
Male,yellow,0.556,up in RA,TRUE,GALNT3,0.79428910430873,2.28278700079382e-06,0.866
Male,yellow,0.556,up in RA,TRUE,GALNT7,0.615896004783509,4.42090813956591e-06,0.92
Male,yellow,0.556,up in RA,TRUE,GCA,0.228498850524853,0.00245233820573519,0.812
Male,yellow,0.556,up in RA,TRUE,GDAP2,0.405810686500098,0.000603542411554915,0.633
Male,yellow,0.556,up in RA,TRUE,GIPC2,0.199112169550382,0.00934117964368166,0.33
Male,yellow,0.556,up in RA,TRUE,GK,0.493872927003478,0.000892079263276541,0.739
Male,yellow,0.556,up in RA,TRUE,GMCL1,0.562177422653822,1.67546621004332e-07,0.824
Male,yellow,0.556,up in RA,TRUE,GMFB,0.703208646158079,4.55724548985107e-07,0.843
Male,yellow,0.556,up in RA,TRUE,GMFG,0.364061865580502,0.000180092659260326,0.689
Male,yellow,0.556,up in RA,TRUE,GNA13,0.274771885932102,1.67564660372817e-05,0.801
Male,yellow,0.556,up in RA,TRUE,GNAQ,0.328596107515435,0.000509620760893332,0.649
Male,yellow,0.556,up in RA,TRUE,GNB4,0.393047980026872,9.77849023895959e-05,0.725
Male,yellow,0.556,up in RA,TRUE,GOLGA7,0.219080351672044,5.1703116657511e-05,0.748
Male,yellow,0.556,up in RA,TRUE,GPD2,0.221194578910722,0.0474187754549763,0.449
Male,yellow,0.556,up in RA,TRUE,GPR155,0.221529829414603,0.0293420357251057,0.471
Male,yellow,0.556,up in RA,TRUE,GPR160,0.72428106914992,9.35568177522486e-06,0.735
Male,yellow,0.556,up in RA,TRUE,GPR34,0.775772153237627,0.000928729053580692,0.639
Male,yellow,0.556,up in RA,TRUE,GPR65,0.918211799807471,2.00419013622516e-07,0.816
Male,yellow,0.556,up in RA,TRUE,GRAMD1C,0.815367382657854,0.00136945532093422,0.739
Male,yellow,0.556,up in RA,TRUE,GTF2B,0.283494526290042,0.000363569583835624,0.54
Male,yellow,0.556,up in RA,TRUE,HBP1,0.122318234813178,0.0412021034578143,0.68
Male,yellow,0.556,up in RA,TRUE,HDGFRP3,0.523043979795453,0.000654308630838478,0.686
Male,yellow,0.556,up in RA,TRUE,HEATR5A,0.625751198845144,4.42113433471404e-05,0.83
Male,yellow,0.556,up in RA,TRUE,HECW2,0.703136307257188,0.0136970778249114,0.695
Male,yellow,0.556,up in RA,TRUE,HHEX,0.217004030089243,0.0325458508865985,0.64
Male,yellow,0.556,up in RA,TRUE,HIF1A,0.234648823708086,0.000371781368028035,0.724
Male,yellow,0.556,up in RA,TRUE,HIST1H2AK,0.618937186179481,0.000266737782993385,0.569
Male,yellow,0.556,up in RA,TRUE,HMGB2,0.927984491163194,6.04796403658513e-08,0.862
Male,yellow,0.556,up in RA,TRUE,HORMAD1,0.60512163670989,1.42646757388333e-05,0.747
Male,yellow,0.556,up in RA,TRUE,HSD17B11,0.201049601404945,0.00235612928629677,0.8
Male,yellow,0.556,up in RA,TRUE,HSDL2,0.415113545652465,0.000329618929588888,0.746
Male,yellow,0.556,up in RA,TRUE,HTR7P1,0.314348721188121,0.0362871032829283,0.563
Male,yellow,0.556,up in RA,TRUE,IDI1,0.678198852297594,7.09143928597875e-07,0.857
Male,yellow,0.556,up in RA,TRUE,IFNGR1,0.405590659134085,3.82585094188096e-06,0.893
Male,yellow,0.556,up in RA,TRUE,IFRD1,0.655990580533734,0.000138936132098636,0.825
Male,yellow,0.556,up in RA,TRUE,IKBIP,0.728841952284563,6.26233887640765e-06,0.823
Male,yellow,0.556,up in RA,TRUE,IL18,0.412992492680423,0.0116449656197191,0.416
Male,yellow,0.556,up in RA,TRUE,IL18R1,0.652343339472885,6.97468670260258e-05,0.646
Male,yellow,0.556,up in RA,TRUE,ING1,0.296291959003106,0.00032828278468998,0.564
Male,yellow,0.556,up in RA,TRUE,ING2,0.409455197430193,0.000330106126464387,0.536
Male,yellow,0.556,up in RA,TRUE,INTS12,0.13727100938575,0.0441010588413037,0.436
Male,yellow,0.556,up in RA,TRUE,INTS6,0.21576864528428,0.0132488558373303,0.497
Male,yellow,0.556,up in RA,TRUE,IQGAP2,0.443845059182344,0.000103200034771907,0.659
Male,yellow,0.556,up in RA,TRUE,IRAK3,0.569618275331449,0.000411184648635741,0.802
Male,yellow,0.556,up in RA,TRUE,ITGA1,0.323394543997452,0.00268601334188854,0.406
Male,yellow,0.556,up in RA,TRUE,IVNS1ABP,0.264924645585741,0.000768876653159835,0.723
Male,yellow,0.556,up in RA,TRUE,JAG1,0.556156448945056,0.00042821756050813,0.751
Male,yellow,0.556,up in RA,TRUE,JAK2,0.639605092060886,2.36672356660221e-05,0.86
Male,yellow,0.556,up in RA,TRUE,JKAMP,0.404507842782764,2.21212030950315e-05,0.795
Male,yellow,0.556,up in RA,TRUE,KBTBD7,0.593322190282844,0.000111001974719243,0.786
Male,yellow,0.556,up in RA,TRUE,KCNJ2,0.408600694612673,0.00195635883536551,0.635
Male,yellow,0.556,up in RA,TRUE,KCTD12,0.257356471010432,0.0171521733619194,0.647
Male,yellow,0.556,up in RA,TRUE,KDM3A,0.249217439139523,0.00150943457150205,0.712
Male,yellow,0.556,up in RA,TRUE,KDM6A,0.308676021102818,0.004745025652662,0.625
Male,yellow,0.556,up in RA,TRUE,KIAA1109,0.581378722577649,2.10112243119909e-05,0.834
Male,yellow,0.556,up in RA,TRUE,KIAA1468,0.734722637224568,3.410247733953e-06,0.847
Male,yellow,0.556,up in RA,TRUE,KIAA1841,0.239463814304513,0.0425771351495764,0.486
Male,yellow,0.556,up in RA,TRUE,KIDINS220,0.345900568284607,0.00561811744484783,0.777
Male,yellow,0.556,up in RA,TRUE,KIN,0.252116784330009,0.0365196930189998,0.657
Male,yellow,0.556,up in RA,TRUE,KIT,0.401718141997027,0.0379247897615557,0.494
Male,yellow,0.556,up in RA,TRUE,KLF3,0.410541366423831,1.45714630757904e-05,0.821
Male,yellow,0.556,up in RA,TRUE,KLHL2,0.885961330336662,5.71042216462722e-06,0.921
Male,yellow,0.556,up in RA,TRUE,KLHL5,0.35279650677409,0.00201017841436662,0.671
Male,yellow,0.556,up in RA,TRUE,KPNA4,0.153797880052284,0.00802926649059736,0.692
Male,yellow,0.556,up in RA,TRUE,KRAS,0.284391969245329,3.28451730674712e-05,0.729
Male,yellow,0.556,up in RA,TRUE,KRCC1,0.591703836954839,1.47884606116856e-05,0.789
Male,yellow,0.556,up in RA,TRUE,KYNU,0.338416189292667,0.0403132847636571,0.381
Male,yellow,0.556,up in RA,TRUE,LAMP2,0.252924690642331,0.000664638080423764,0.656
Male,yellow,0.556,up in RA,TRUE,LATS2,0.225624710405603,0.03440717457546,0.56
Male,yellow,0.556,up in RA,TRUE,LBR,0.338390763182447,7.50046025604205e-05,0.894
Male,yellow,0.556,up in RA,TRUE,LMBRD1,0.39422273252022,3.52949686218345e-05,0.81
Male,yellow,0.556,up in RA,TRUE,LONRF1,0.586701579192588,2.96783558069965e-05,0.881
Male,yellow,0.556,up in RA,TRUE,LPCAT2,0.569202452350904,0.000948270696883415,0.737
Male,yellow,0.556,up in RA,TRUE,LPGAT1,0.478053002370633,8.16448729635636e-07,0.915
Male,yellow,0.556,up in RA,TRUE,LRMP,0.229383310216571,0.00907659155872964,0.745
Male,yellow,0.556,up in RA,TRUE,LRRK2,0.47571193738563,8.22029391349832e-06,0.859
Male,yellow,0.556,up in RA,TRUE,LXN,0.550706651983326,0.000826702600147556,0.744
Male,yellow,0.556,up in RA,TRUE,LY96,1.5475493686022,1.38848950688847e-07,0.866
Male,yellow,0.556,up in RA,TRUE,LYRM1,0.211180048735426,0.00454503428374265,0.566
Male,yellow,0.556,up in RA,TRUE,LYSMD2,0.310726064865549,0.000129658535316788,0.537
Male,yellow,0.556,up in RA,TRUE,LYSMD3,0.767539975964121,1.01368537175892e-06,0.853
Male,yellow,0.556,up in RA,TRUE,LYST,0.256974868644498,0.00294763095224926,0.818
Male,yellow,0.556,up in RA,TRUE,MAN1A1,0.52575503017811,0.00014144352067193,0.747
Male,yellow,0.556,up in RA,TRUE,MAP3K8,0.613704176456067,6.75755606159672e-05,0.42
Male,yellow,0.556,up in RA,TRUE,MAPK1,0.222903218289485,0.00643166314519319,0.673
Male,yellow,0.556,up in RA,TRUE,MBD5,0.207597751943883,0.0277106693543198,0.384
Male,yellow,0.556,up in RA,TRUE,MCTP1,0.522416778219088,0.0441131368556981,0.457
Male,yellow,0.556,up in RA,TRUE,MED30,0.557029184548165,2.95358388347307e-07,0.777
Male,yellow,0.556,up in RA,TRUE,MED31,0.212517212107678,0.00411033471368179,0.593
Male,yellow,0.556,up in RA,TRUE,MEF2A,0.25260675778896,0.00390754306104484,0.594
Male,yellow,0.556,up in RA,TRUE,MFAP3,0.242659244671809,0.00119851631582552,0.768
Male,yellow,0.556,up in RA,TRUE,MFN1,0.622935824704499,3.87884959814469e-05,0.843
Male,yellow,0.556,up in RA,TRUE,MIER1,0.650633388676314,3.27942153010919e-08,0.888
Male,yellow,0.556,up in RA,TRUE,MKLN1,0.331618853965699,0.000440782925910796,0.548
Male,yellow,0.556,up in RA,TRUE,MMADHC,0.318110877377405,2.6005327333317e-07,0.768
