gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
FAM69C,0.0326391557118181,0.43918176183189,0.589180871581639,0.00782251628053169,0.862153600362344,0.930894390198756,FALSE,FALSE,ns in both
SPACA4,0.00205808772729763,0.939407897273699,0.962599829192742,-0.00488506009759409,0.862388747785382,0.931019273019172,FALSE,FALSE,ns in both
NRP2,0.00469990155804384,0.887228891643758,0.933774067276701,0.00600177745529678,0.862438667329711,0.931019273019172,FALSE,FALSE,ns in both
C4orf36,-0.0176841292637689,0.467986543975858,0.616389901258101,-0.00444623304713044,0.862446452111017,0.931019273019172,FALSE,FALSE,ns in both
CLCA4,0.0201086569467616,0.492809145073386,0.638408165170265,-0.00522106728306903,0.862590740356911,0.931111267564609,FALSE,FALSE,ns in both
HTR4,0.00632122033001745,0.830480115703903,0.898055919857047,0.00551988177517474,0.862822290236707,0.931297436387374,FALSE,FALSE,ns in both
SNAPIN,0.0141968746631463,0.580346554359638,0.713851169439795,0.00458847457412645,0.862885880396266,0.931302302820016,FALSE,FALSE,ns in both
FHL1,-0.0702304128382903,0.303786893264156,0.455016419471959,-0.0121621373086879,0.863233870061074,0.931555362937832,FALSE,FALSE,ns in both
TRIM63,-0.0103708183945548,0.683935599805977,0.797108604980229,0.00460422594164547,0.863238545101372,0.931555362937832,FALSE,FALSE,ns in both
SLBP,0.0197023513994855,0.546630974197293,0.685703011799453,0.00583896692409252,0.863352729573704,0.931583765673516,FALSE,FALSE,ns in both
TRAPPC1,-0.110097175482034,0.0114881627770869,0.0339242993359349,-0.00679773410834171,0.863383063675976,0.931583765673516,TRUE,FALSE,lost to composition
ITGA9,-0.0212697146378709,0.450413453245892,0.600360837435735,-0.00501315640390124,0.863515908432145,0.931628026102119,FALSE,FALSE,ns in both
ATF5,-0.0738501272737246,0.170073231458591,0.295314424706078,-0.00936662249810688,0.863542288230544,0.931628026102119,FALSE,FALSE,ns in both
HLA-G,-0.0236790711229931,0.386228850698337,0.537893263650514,-0.00490258317735662,0.863722786973503,0.931758985153526,FALSE,FALSE,ns in both
CCL17,0.000188304829873029,0.994801644547691,0.996698552278984,0.00518268443805791,0.863853464280388,0.931836184045148,FALSE,FALSE,ns in both
HDGFL1,0.0151470444240138,0.718432888385174,0.821520320610483,0.00775381558638859,0.864018469527375,0.931950399285617,FALSE,FALSE,ns in both
RPL36AL,0.00962599738101222,0.810323315881899,0.885792401404048,-0.0072177291091232,0.864157649084953,0.932036744613487,FALSE,FALSE,ns in both
