gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
HOPX,0.22738182323649,8.52917192426672,3.01143536819619,0.00296343558484479,0.00778933385424519,TRUE,Up in RA
KIF1C,-0.121489370503125,6.72177617665155,-3.0110771788398,0.00296676804840623,0.00779679305552308,TRUE,Down in RA
TDRD9,0.277751770759197,5.58697444854278,3.00949583008737,0.00298152158326855,0.00783425982948195,TRUE,Up in RA
DUS4L,0.14327496448106,4.83552750080922,3.00811105002995,0.00299449657618705,0.00786704158840607,TRUE,Up in RA
HMCN1,0.0817492744940426,2.82286662596388,3.00737372734111,0.00300142624559082,0.00788311204226871,FALSE,ns
DDIT4L,0.111852781057532,3.76755935833076,3.00735379216133,0.00300161380940791,0.00788311204226871,TRUE,Up in RA
PDE4DIP,-0.158429116022956,5.07368857515264,-3.00678154872972,0.00300700246523518,0.00789594866891591,TRUE,Down in RA
DIP2B,0.099210720899031,8.83647403417431,3.00629450323605,0.00301159584271242,0.00790669308272415,FALSE,ns
HIRIP3,-0.0892800796649803,5.17994278608451,-3.00524525506792,0.00302151334462421,0.00793140963385701,FALSE,ns
PTK7,-0.0987389462781127,3.68051234970888,-3.00474516694604,0.00302625074165877,0.00794222373394846,FALSE,ns
RUSC1,-0.096277255175176,6.13217240731076,-3.00470403019773,0.00302664073906162,0.00794222373394846,FALSE,ns
LETM2,0.196708184643749,5.05404043433807,3.00434202084504,0.00303007476617333,0.00794991154114352,TRUE,Up in RA
PTRH1,-0.0958954643849637,5.04045747337317,-3.0035894942585,0.00303722471386432,0.00796734451067454,FALSE,ns
HPCAL4,-0.188590797918071,5.13690061218932,-3.00265589167125,0.00304611667148273,0.00798934061440636,TRUE,Down in RA
PLK2,0.102825244359617,3.30702920348414,3.00248991273679,0.00304770001658577,0.00799216359365188,TRUE,Up in RA
MAP3K1,0.0696546337381809,11.2681663808451,3.00164283472772,0.0030557924532125,0.00801205196939266,FALSE,ns
DBF4,0.142909065807612,6.71933381165025,3.00063267970639,0.00306546864687215,0.00803608552813,TRUE,Up in RA
WAC,-0.0514353897090233,10.5657445519505,-3.00057229730297,0.00306604793631567,0.00803626764551778,FALSE,ns
SLC26A8,0.321509607865915,5.39468022505108,3.00006754788339,0.00307089427888801,0.00804650994371852,TRUE,Up in RA
FAM161B,-0.10717317553081,6.32802841824743,-3.00001993144549,0.00307135183059119,0.00804650994371852,TRUE,Down in RA
ADM,0.196652755198219,10.0835527913451,2.99998643560635,0.00307167373342334,0.00804650994371852,TRUE,Up in RA
C11orf80,-0.178645039060471,5.39095409715718,-2.99995274744671,0.00307199751578367,0.00804650994371852,TRUE,Down in RA
TRMT5,0.098980833029857,7.57845058355864,2.99807047389513,0.00309013828223248,0.00809268146582997,FALSE,ns
ZNF461,0.13739418221371,4.33999392879135,2.99780316081347,0.00309272253295302,0.00809701181567207,TRUE,Up in RA
MID1IP1,-0.122154539852636,9.58638993710195,-2.99779317157854,0.00309281914243237,0.00809701181567207,TRUE,Down in RA
LRP10,-0.144808128866226,9.66709896807571,-2.99757239038391,0.00309495510501173,0.00810125827304881,TRUE,Down in RA
C5orf42,-0.0970966270851931,4.28438950990471,-2.99666966328301,0.00310370271340535,0.00812280688550699,FALSE,ns
HIP1,-0.295561440124131,8.25426666706482,-2.99642652499858,0.00310606265425526,0.00812763373489801,TRUE,Down in RA
USP31,-0.139244375299547,6.24102693985496,-2.99635266137718,0.00310677991348615,0.00812816129066924,TRUE,Down in RA
ASTN2,-0.118521082874158,5.14968219712924,-2.99581962797493,0.00311196049660862,0.00813921118223181,TRUE,Down in RA
STK32C,-0.121008213704938,4.78716063229498,-2.9958118502368,0.00311203614764392,0.00813921118223181,TRUE,Down in RA
MS4A2,0.296023764864681,4.42861366342301,2.99551422471774,0.00311493230560206,0.00814543429548859,TRUE,Up in RA
WNT5A,0.0710212189718572,3.51167069556509,2.99534607997374,0.00311656959667587,0.00814836399940317,FALSE,ns
RANBP9,0.089432633809012,8.74643933986372,2.99463001533035,0.00312355105849347,0.00816526290796561,FALSE,ns
C8B,-0.0807448775492143,3.52453241764457,-2.99455112338625,0.00312432111478296,0.00816592169330521,FALSE,ns
LIMS2,-0.112044562105167,4.55399170959584,-2.99223724190455,0.00314698443008193,0.00822379236926085,TRUE,Down in RA
CXCL3,0.107819767472185,3.29619855573449,2.99145954123676,0.00315463547676004,0.00824241986079372,TRUE,Up in RA
FASTKD2,0.0977091223945433,7.06277180996928,2.99083536198347,0.00316078853517449,0.00825712788862372,FALSE,ns
TMTC2,0.142800279467386,4.51983737628734,2.99025560771468,0.00316651353591944,0.00827071298536838,TRUE,Up in RA
MTCH1,-0.0651252511120782,10.6950205247021,-2.98992802402804,0.00316975259514253,0.00827780155023719,FALSE,ns
PDZK1IP1,-0.344002457081577,9.15243071862405,-2.98971980900023,0.00317181295142769,0.00828181009662989,TRUE,Down in RA
HLCS,-0.11516533956718,5.30272927381724,-2.98962861497428,0.00317271573379863,0.00828268738815952,TRUE,Down in RA
PNMA3,-0.100069375566233,4.89731365386152,-2.98957972271452,0.00317319984375406,0.00828268738815952,TRUE,Down in RA
NEU3,-0.0874997335118255,4.74382563034415,-2.98875771271962,0.00318134920007256,0.00830258401336817,FALSE,ns
