gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
MAFF,-0.0603631634819808,0.506123047798866,0.644740391340999,-0.111847638962867,0.343021910482003,0.604613035326826,FALSE,FALSE,ns in both
METTL1,-0.102069042129975,0.224369418042069,0.360780897337257,-0.106653797849336,0.343192180875861,0.604845521818672,FALSE,FALSE,ns in both
PIGP,0.0798186560835643,0.374715588766259,0.52261916702553,-0.102786053859213,0.343274060043418,0.604922192114521,FALSE,FALSE,ns in both
NQO1,0.0336452179247388,0.668935354022178,0.778416357998789,-0.0965855663654005,0.343465949897525,0.605192685919371,FALSE,FALSE,ns in both
THEMIS,0.513149042928934,0.00121463492200661,0.00520987490492251,0.165655831452322,0.34370087272151,0.605538935588372,TRUE,FALSE,lost to composition
PCDHB9,0.0792541992059216,0.363200563938632,0.511035480618107,0.102602658339044,0.343854576161649,0.605742029954859,FALSE,FALSE,ns in both
GSN,-0.534251854619593,0.00124675746073409,0.00531871119175952,-0.164719930990793,0.343949549480192,0.605841630177257,TRUE,FALSE,lost to composition
NAA16,0.314427723099588,0.000986181681177618,0.00437153595061946,0.109105938874666,0.344015054867588,0.605845067369573,TRUE,FALSE,lost to composition
HERPUD2,0.0474992171383724,0.31616264599245,0.463166523120724,0.0566624073334946,0.344031818368605,0.605845067369573,FALSE,FALSE,ns in both
PPP2R5A,0.0124607128086379,0.878976445715563,0.926590364061688,0.106378942299423,0.344075136056579,0.605845067369573,FALSE,FALSE,ns in both
C16orf89,-0.0155113298385674,0.788228970350763,0.865137495939672,-0.0744692561775605,0.344117838858848,0.605845067369573,FALSE,FALSE,ns in both
NOTCH2,-0.270508481532668,0.000346717194354806,0.00183955002848025,-0.0769383808350725,0.34414367399779,0.605845067369573,TRUE,FALSE,lost to composition
CDX2,-0.0495338057557043,0.475273307379443,0.617874898492549,0.0877439820749972,0.34424795891247,0.605903556617754,FALSE,FALSE,ns in both
CHAT,0.0577249033668302,0.346286865404249,0.493760276740586,0.0763278379463299,0.344253774856855,0.605903556617754,FALSE,FALSE,ns in both
RBPMS,-0.0425775630203892,0.435469607071189,0.582510812649623,-0.0688547252036899,0.34441089642675,0.605919491809622,FALSE,FALSE,ns in both
